municipality,sk_0,hg,dsk,sk_maks
Oslo,3.5,0,0,1000000.0
Aremark,3.0,250,0.5,1000000.0
Fredrikstad,2.5,150,0.5,1000000.0
Halden,3.0,150,0.5,1000000.0
Hvaler,2.0,150,0.5,1000000.0
Marker,3.0,250,0.5,1000000.0
Moss,3.0,150,0.5,1000000.0
Rakkestad,3.0,250,0.5,1000000.0
Råde,2.5,150,0.5,1000000.0
Sarpsborg,3.0,150,0.5,1000000.0
Skiptvet,3.0,250,0.5,1000000.0
Våler Østfold,3.0,150,0.5,1000000.0
Indre Østfold,3.0,250,0.5,1000000.0
Bærum,3.5,150,1.0,1000000.0
Gjerdrum,4.5,250,1.0,6.5
Hurdal,5.0,250,1.0,6.5
Lørenskog,4.0,250,1.0,6.5
Nannestad,4.5,250,1.0,6.5
Nes Akershus,3.5,250,1.0,6.5
Nesodden,3.5,150,1.0,1000000.0
Rælingen,4.0,250,1.0,6.5
Ullensaker,4.5,350,1.0,6.5
Vestby,3.5,150,1.0,1000000.0
Ås,3.5,150,1.0,1000000.0
Enebakk,4.0,250,1.0,6.5
Aurskog-Høland,3.0,250,1.0,6.5
Lillestrøm,4.0,250,1.0,6.5
Nittedal,4.5,250,1.0,6.5
Nordre Follo,3.5,250,1.0,6.5
Eidsvoll,4.5,250,1.0,6.5
Asker,4.0,150,1.0,1000000.0
Frogn,4.0,150,1.0,1000000.0
Alvdal,4.0,650,1.0,6.5
Eidskog,3.5,250,1.0,6.5
Elverum,4.0,250,1.0,6.5
Engerdal,4.0,650,1.0,6.5
Folldal,4.0,850,1.0,6.5
Grue,3.5,250,1.0,6.5
Hamar,3.5,150,1.0,1000000.0
Kongsvinger,3.5,150,1.0,1000000.0
Løten,3.5,150,1.0,1000000.0
Nord-Odal,3.5,250,1.0,6.5
Os Innlandet,4.0,650,1.0,6.5
Bjørnafjorden,4.0,650,1.0,6.5
Rendalen,4.0,650,1.0,6.5
Ringsaker,3.5,150,1.0,1000000.0
Stange,3.5,150,1.0,1000000.0
Stor-Elvdal,4.0,650,1.0,6.5
Sør-Odal,3.5,150,1.0,1000000.0
Tolga,4.0,650,1.0,6.5
Trysil,4.0,650,1.0,6.5
Tynset,4.0,650,1.0,6.5
Våler Innlandet,3.5,250,1.0,6.5
Åmot,4.0,250,1.0,6.5
Åsnes,3.5,250,1.0,6.5
Dovre,4.0,550,1.0,6.5
