municipality,var
Oslo,3.895598335140557
Aremark,4.007420716062695
Fredrikstad,3.869717487040243
Halden,3.916209005283163
Hvaler,3.91032785633762
Marker,4.019287729438895
Moss,3.9854161013374036
Rakkestad,3.9543620780765263
Råde,3.94220339429839
Sarpsborg,3.941470589756384
Skiptvet,3.973842628022906
Våler Østfold,3.9741177191900676
Indre Østfold,3.9997146788963236
Bærum,3.984365053434479
Gjerdrum,4.036876127233007
Hurdal,4.193221644599675
Lørenskog,3.993904237378416
Nannestad,4.174577899463277
Nes Akershus,4.038787659235018
Nesodden,3.982969095263253
Rælingen,4.016596574446084
Ullensaker,4.107075718241007
Vestby,4.03665240594268
Ås,4.044221102745363
Enebakk,4.1020076476980005
Aurskog-Høland,4.022241593606567
Lillestrøm,3.975197661232181
Nittedal,4.059008513402099
Nordre Follo,4.067024885047837
Eidsvoll,4.088472771000628
Asker,4.08262478968345
Frogn,4.006891405381318
Alvdal,4.2545640328857885
Eidskog,4.093631966784436
Elverum,4.175215867554566
Engerdal,4.436481063754232
Folldal,4.290150493992505
Grue,4.106630091855035
Hamar,4.0163004597621335
Kongsvinger,4.096355177999784
Løten,4.034545048351707
Nord-Odal,4.095521665804996
Os Innlandet,4.4055724818031425
Bjørnafjorden,3.961680917324378
Rendalen,4.437629601990729
Ringsaker,4.20274124908597
Stange,4.083135326269833
Stor-Elvdal,4.336926870382626
Sør-Odal,4.102012266490668
Tolga,4.405621875118355
Trysil,4.478007868656111
Tynset,4.323306400043511
Våler Innlandet,4.314098917081383
Åmot,4.261360611868639
Åsnes,4.2098171383335865
Dovre,4.236358205086323
Etnedal,4.284279411821489
Gausdal,4.331948287779185
Gjøvik,4.142690966371497
Gran,4.1238963087056755
Jevnaker,4.069506890398221
Lesja,4.200368368996189
Lillehammer,4.202182750225139
Lom,4.190135903833102
Lunner,4.166927357796693
Nord-Aurdal,4.248017482630742
Nord-Fron,4.157203905684097
Nordre Land,4.223720407868718
Ringebu,4.21022811606966
Sel,4.158009410217002
Skjåk,4.127780189653982
Søndre Land,4.24858683870224
Sør-Aurdal,4.18741977299505
Sør-Fron,4.244054067833868
Vang,4.297424654948127
Vestre Slidre,4.247485253291508
Vestre Toten,4.245931058090003
Vågå,4.168763816136595
Østre Toten,4.188568857434247
Øyer,4.185225675888373
Øystre Slidre,4.397974383106632
Drammen,3.9579931808192246
Flesberg,4.197328990848307
Flå,4.168264443533092
Gol,4.217170961080817
Hemsedal,4.289656048714065
Hol,4.365998460641903
Hole,4.080823705693033
Kongsberg,4.1422611403546155
Krødsherad,4.158675676917434
Lier,3.991008576434268
Modum,4.1348527667233625
Nes Buskerud,4.229421058639033
Nore og Uvdal,4.190590031740221
Ringerike,4.02405412142107
Rollag,4.198545564030912
Sigdal,4.236472896081356
Øvre Eiker,3.996244106813227
Ål,4.300741745473601
Nesbyen,4.229421058639033
Færder,3.938836550591505
Holmestrand,4.020161177421227
Horten,3.9960089884752485
Larvik,3.9713536950650123
Sandefjord,3.9661882380378155
Tønsberg,3.9543201410192816
Bamble,3.9631295314105275
Drangedal,3.9952250881131848
Fyresdal,4.097491902751607
Hjartdal,4.097223788701491
Kragerø,3.941995623639971
Kviteseid,3.9593749744982345
Nissedal,4.108447823255992
Nome,3.9619425384386813
Notodden,4.016211191557614
Porsgrunn,3.95964967228779
Seljord,3.9793326753396663
Siljan,4.049407460846793
Skien,3.9490910830298516
Tinn,4.155893233263784
Tokke,4.095974793480579
Vinje,4.2904077403088925
Midt-Telemark,4.024179573130317
Arendal,3.90239281063942
Birkenes,3.9605031075113337
Bygland,4.0317161718087124
Bykle,4.259338163959372
Evje og Hornnes,4.020976221680264
Froland,3.963171724715927
Gjerstad,3.9900217515532477
Grimstad,3.9630918043156886
Iveland,4.105804669616623
Lillesand,3.8992846528220695
Risør,3.9604398768741267
Tvedestrand,3.967653582511684
Valle,4.103249541088696
Vegårshei,4.02700227716673
Åmli,4.003740848216223
Farsund,3.8283528395985833
Flekkefjord,3.9499949176153595
Hægebostad,4.023261613436016
Kristiansand,3.866927552789556
Kvinesdal,3.9162962820886658
Lindesnes,3.8437201146878306
Lyngdal,3.8615815448077253
Sirdal,3.9683754411377348
Vennesla,3.9248987381963376
Åseral,4.073193644007801
Bjerkreim,3.8265175563960243
Bokn,3.846611643945891
Eigersund,3.8933255173338965
Gjesdal,3.951504132228661
Haugesund,3.8508326109750026
Hjelmeland,3.871537806342225
Hå,3.828185263154528
Karmøy,3.8605014869152794
Klepp,3.7522126712961517
Kvitsøy,3.724111939715716
Lund,4.000116137270007
Randaberg,3.7290514096093728
Sandnes,3.676089374572845
Sauda,3.983024779593773
Sokndal,3.9468358345400465
Sola,3.6465243471293083
Stavanger,3.7279359483514285
Strand,3.840320470009287
Suldal,3.9299264447124087
Time,3.7143439014314166
Tysvær,3.8984334459244527
Vindafjord,3.9889714495878255
Askøy,3.7793856341436673
Austevoll,3.81712984631716
Austrheim,3.9779841688002953
Bergen,3.9908676991173007
Bømlo,3.8501309475003374
Eidfjord,3.9953325225392597
Etne,3.97996611817999
Fedje,3.917074855178179
Fitjar,3.9197837388073853
Fusa,4.012381260393314
Jondal,3.936208604593315
Kvam,3.981514819931879
Kvinnherad,3.960854232030615
Lindås,4.019556865920475
Masfjorden,4.0108217606457215
Meland,3.851758777457527
Modalen,3.9828998037495036
Odda,4.016940968688477
Os Vestland,3.961680917324378
Osterøy,3.9684295918984303
Voss,4.0458148685240465
Øygarden,3.9169258962609725
Ullensvang,4.016940968688477
Alver,3.890548790586559
Vaksdal,4.064856758142214
Samnanger,4.007521865109283
Ulvik,3.982771737684021
Sveio,3.840289661507082
Stord,3.928809118781352
Tysnes,3.9344854954020807
Askvoll,3.9624385915286573
Aurland,3.9716522085118853
Bremanger,3.985071974026252
Stad,4.037087439796233
Fjaler,3.9963476417626946
Kinn,3.9650128959088375
Førde,4.032450243253539
Gloppen,4.001934022633977
Gulen,3.966221386080957
Hornindal,4.110268606413629
Hyllestad,3.9637710149285486
Høyanger,3.9714317656809137
Jølster,4.107601520058992
Leikanger,4.037475710571362
Luster,4.032385240333549
Lærdal,3.97456550114434
Naustdal,3.997790577918147
Sogndal,4.023895708614294
Solund,3.9563220884280295
Stryn,4.067231201201031
Vik,4.024833786921958
Årdal,4.0541148552684145
Sunnfjord,4.032450243253539
Aukra,3.9595860896468063
Aure,3.962059615954483
Averøy,3.983446007983766
Hustadvika,4.014198989866339
Fræna,4.014198989866339
Giske,3.9558387118489553
Gjemnes,4.043004193841498
Halsa,4.027725993792144
Haram,3.989628905833295
Hareid,3.989898916553742
Herøy Møre og Romsdal,4.006777639454127
Kristiansund,3.9358891615838503
Midsund,3.9894091910722866
Molde,3.997061661800871
Nesset,4.075373524329773
Norddal,4.055964110320249
Rauma,4.105402088839085
Rindal,4.140286214396541
Sande,3.9566682016784807
Skodje,4.039357898885205
Smøla,3.8978815358662207
Stordal,4.067615957386726
Stranda,4.035811604930575
Sula,3.9417324104038527
Sunndal,4.063226936753154
Surnadal,4.098042262992523
Sykkylven,3.9899427584398546
Tingvoll,4.0366158769821086
Ulstein,4.0726330995823945
Vanylven,4.045215456415735
Vestnes,4.078839762748661
Volda,4.006921817081028
Ørskog,4.09715225772165
Fjord,4.055964110320249
Ørsta,4.0473567579556935
Ålesund,3.9400036168306243
Flatanger,4.008001244718814
Frosta,4.100751498645164
Frøya,3.971573752174713
Grong,4.169926568657951
Heim,4.0326507913628085
Hitra,3.985755225748991
Holtålen,4.325905815187506
Høylandet,4.190066267349914
Inderøy,4.0519630842007395
Indre Fosen,3.996935622494785
Klæbu,4.16866730407045
Leka,4.095902340300226
Levanger,4.058698823154492
Lierne,4.376124993551374
Malvik,4.058009502153553
Orkland,4.060483103170452
Meråker,4.085473478736812
Midtre Gauldal,4.1501902132854624
Namsos,4.116778570630738
Namsskogan,4.278172113635193
Oppdal,4.215010667316056
Selbu,4.2000640395723545
Trondheim,4.051920628062327
Tydal,4.399951170552177
Verdal,4.039528386542967
Ørland,4.041194558015993
Stjørdal,4.054090238803864
Osen,4.038239467297364
Skaun,4.036687961228153
Melhus,4.146538499020289
Nærøysund,4.130935538218619
Steinkjer,4.068931301686105
Åfjord,4.050719252779122
Rennebu,4.258562578598292
Overhalla,4.1055024018277235
Røros,4.403426350692492
Røyrvik,4.323343739576852
Snåsa,4.192628305269976
Alstahaug,4.026811833596554
Andøy,4.12351596484906
Ballangen,4.134343475907965
Beiarn,4.120173763781982
Bindal,4.119828501757017
Bodø,4.022858152268923
Brønnøy,3.938275194260387
Bø Vesterålen,4.09600519625032
Dønna,4.032767228012614
Evenes,4.242710464192889
Fauske,4.100280380571708
Flakstad,4.082456742096759
Gildeskål,4.055066166178001
Grane,4.201960731768116
Hadsel,4.0541754006426505
Hamarøy,4.078667438037855
Hattfjelldal,4.243973304733232
Hemnes,4.160696712164147
Herøy Nordland,4.051420199746656
Leirfjord,4.156647859470112
Lurøy,3.998938492612877
Lødingen,4.167177436921362
Meløy,4.057274572021107
Moskenes,4.078963112088641
Narvik,4.243642345283805
Nesna,4.034461212130671
Rana,4.171429797651566
Rødøy,4.020947407624065
Saltdal,4.096369460768538
Sortland,4.076159538643189
Steigen,4.11224197401986
Sømna,4.0505568619207
Sørfold,4.133080132348381
Tjeldsund,4.113221147216674
Tysfjord,4.117692819356412
Vefsn,4.0793430714271555
Vega,3.9623970504200887
Vestvågøy,4.115908845789147
Vevelstad,3.943879578903765
Værøy,4.069439871590534
Vågan,4.178959160529657
Øksnes,4.131791117400467
Balsfjord,4.217161285326242
Bardu,4.3635001806407105
Dyrøy,4.370814466261945
Kåfjord,4.12045421006384
Gratangen,4.245771993029951
Harstad,4.149688677757772
Ibestad,4.183576449049857
Karlsøy,4.063202940944622
Kvæfjord,4.332723101685914
Kvænangen,4.277097572574009
Lavangen,4.293302961792546
Lenvik,4.378338193327795
Lyngen,4.1272556913587515
Målselv,4.332247432892223
Nordreisa,4.264956937610079
Salangen,4.237598702010756
Skjervøy,4.381177919698946
Storfjord,4.249428480151601
Sørreisa,4.269098371177525
Senja,4.378338193327795
Tranøy,4.1673396068359425
Tromsø,4.293706998934634
Alta,4.369984374664642
Berlevåg,4.372511493339964
Båtsfjord,4.703442888071715
Deatnu,4.56155257074581
Gamvik,4.540268649773044
Kautokeino,4.376051614514668
Hammerfest,4.4082056912333005
Hasvik,4.251744858331832
Karasjok,4.41572806503406
Kvalsund,3.9496368347986497
Lebesby,4.494434064650464
Loppa,4.291086480734931
Måsøy,4.3289116672883345
Nordkapp,4.306473325554895
Porsanger,4.291697847589875
Sør-Varanger,4.438846659060337
Nesseby,4.549252571748902
Vadsø,4.338700563350491
