municipality,var
Oslo,2.9552774669564483
Aremark,3.25843594281659
Fredrikstad,2.3196476958981442
Halden,1.719316335869162
Hvaler,2.209859799841968
Marker,4.137520717428871
Moss,3.5640358924370146
Rakkestad,3.65556011345639
Råde,3.1998129312570653
Sarpsborg,2.5304210884552334
Skiptvet,3.845826110356787
Våler Østfold,4.098247035356905
Indre Østfold,4.031543420456504
Bærum,4.790632378289257
Gjerdrum,7.470281760043082
Hurdal,8.939992300445644
Lørenskog,5.431168858457529
Nannestad,7.4056421527466645
Nes Akershus,3.6461762570035408
Nesodden,3.6808842390676464
Rælingen,5.810299481387913
Ullensaker,7.063971074078611
Vestby,3.445556864705796
Ås,3.9139050827029904
Enebakk,4.7948583955288395
Aurskog-Høland,3.615746095582039
Lillestrøm,5.802699570748999
Nittedal,8.317739581601428
Nordre Follo,4.403108282158286
Eidsvoll,4.943504627883362
Asker,7.693538723817829
Frogn,6.058276059730819
Alvdal,4.386930886202149
Eidskog,4.75019448679034
Elverum,6.549819529297758
Engerdal,7.074941015672484
Folldal,3.5279270407095895
Grue,3.3259468381965327
Hamar,3.6886734017646923
Kongsvinger,3.812290531650059
Løten,3.2250077688532826
Nord-Odal,4.449609261158912
Os Innlandet,6.405403778469752
Bjørnafjorden,2.856235685373543
Rendalen,5.36229385418222
Ringsaker,6.86216539013398
Stange,3.8522433184673917
Stor-Elvdal,6.312477004029425
Sør-Odal,3.1646859224624095
Tolga,4.986823530034153
Trysil,7.715227122055823
Tynset,5.464481504840542
Våler Innlandet,7.383667093816611
Åmot,8.315070558734575
Åsnes,3.9897559123803283
Dovre,5.434580184973396
Etnedal,7.046861297078144
Gausdal,7.9923657305422635
Gjøvik,6.993615337936301
Gran,7.943505048410405
Jevnaker,6.156310541958095
Lesja,10.566252302673144
Lillehammer,6.702834385576702
Lom,6.852735295253031
Lunner,8.746407399331009
Nord-Aurdal,5.767066352785755
Nord-Fron,4.45965498486204
Nordre Land,5.0635121258531814
Ringebu,4.757815901679167
Sel,3.9651482153899034
Skjåk,8.068676354708133
Søndre Land,6.402318236729862
Sør-Aurdal,7.140089490670333
Sør-Fron,5.64126660919435
Vang,11.395148909344197
Vestre Slidre,6.477883752756186
Vestre Toten,9.661823984095522
Vågå,6.765010842040017
Østre Toten,8.825123777649843
Øyer,6.821878715361695
Øystre Slidre,8.777150989225525
Drammen,5.769156226456568
Flesberg,8.478522577364128
Flå,6.004485027210544
Gol,6.390561592568889
Hemsedal,10.544274588301526
Hol,9.219229745495658
Hole,9.27085298221659
Kongsberg,6.678267262570764
Krødsherad,7.724192309706344
Lier,6.285302475896258
Modum,5.018082473664383
Nes Buskerud,5.62496426325897
Nore og Uvdal,7.3565517750582545
Ringerike,3.824525245072365
Rollag,8.384212375354586
Sigdal,9.744996514268834
Øvre Eiker,4.540776856937258
Ål,7.385019607462033
Nesbyen,5.62496426325897
Færder,4.457672853335087
Holmestrand,7.079002908320716
Horten,5.285253336880769
Larvik,5.81783997552075
Sandefjord,4.259261229544626
Tønsberg,4.866359717090608
Bamble,4.821766314551675
Drangedal,6.648615849104656
Fyresdal,6.702950743705368
Hjartdal,6.356909808589287
Kragerø,6.642494672388219
Kviteseid,4.816874465732051
Nissedal,7.025181677102278
Nome,4.297742637274446
Notodden,4.120706281611046
Porsgrunn,4.4100517301095135
Seljord,6.3505564124869105
Siljan,6.9951769276335956
Skien,4.347653099889326
Tinn,7.941112023318447
Tokke,5.7017932551240715
Vinje,9.746696779295442
Midt-Telemark,6.270798305926661
Arendal,4.969577577920747
Birkenes,5.524684182056606
Bygland,5.950135764135355
Bykle,17.8844449673944
Evje og Hornnes,5.404613260231657
Froland,7.727178743656438
Gjerstad,7.489025973033738
Grimstad,5.422169128613944
Iveland,10.491666327152265
Lillesand,4.335967074222872
Risør,6.292258639113088
Tvedestrand,7.053718281619564
Valle,7.619911907307396
Vegårshei,10.031420949769549
Åmli,6.284971482499277
Farsund,1.943511872311561
Flekkefjord,3.060905299800736
Hægebostad,5.587231323858528
Kristiansand,3.832174576822162
Kvinesdal,2.699207045757768
Lindesnes,4.3505368975913905
Lyngdal,2.8269940102094924
Sirdal,3.2436485289943646
Vennesla,6.171110831220927
Åseral,10.00473944488212
Bjerkreim,1.4201479795327268
Bokn,1.6754614825429397
Eigersund,2.287856940186254
Gjesdal,2.4363666960429113
Haugesund,1.7833694149478185
Hjelmeland,2.1545792320125656
Hå,1.905397669300607
Karmøy,1.8551973642310926
Klepp,1.317427048562338
Kvitsøy,1.2964055791614664
Lund,3.3187994860641017
Randaberg,1.31636667574253
Sandnes,1.1141748051115705
Sauda,4.58984071041323
Sokndal,3.074712143975449
Sola,1.0699298404551072
Stavanger,1.3135862441858959
Strand,1.665172592928923
Suldal,4.671641513683077
Time,1.277625397736878
Tysvær,1.7195918463624948
Vindafjord,2.4637268089465927
Askøy,1.3030006166729862
Austevoll,1.4612513848813176
Austrheim,2.5539620856384952
Bergen,2.747618209171065
Bømlo,1.9393848042282862
Eidfjord,2.709133535581709
Etne,2.5118955735120143
