municipality,var
Oslo,8.917793424538168
Aremark,6.40669717204075
Fredrikstad,7.304679510504103
Halden,7.713656572601409
Hvaler,6.275448258538196
Marker,6.4257942173378915
Moss,7.633981960652682
Rakkestad,7.274179204083304
Råde,6.531772983515173
Sarpsborg,7.83020623675005
Skiptvet,7.242907408636975
Våler Østfold,7.220203750584593
Indre Østfold,7.257662577785463
Bærum,7.431356760974691
Gjerdrum,6.9059649840698585
Hurdal,6.804024189854173
Lørenskog,12
Nannestad,6.497918571796999
Nes Akershus,7.519957114104185
Nesodden,8.590093731231287
Rælingen,12
Ullensaker,6.622904128464421
Vestby,7.708675717484924
Ås,7.368966265631158
Enebakk,9.447813046440825
Aurskog-Høland,7.617977689179111
Lillestrøm,12
Nittedal,12
Nordre Follo,7.631409458874847
Eidsvoll,12
Asker,12
Frogn,12
Alvdal,9.538318753682237
Eidskog,7.8111033239919365
Elverum,12
Engerdal,5.240640076625908
Folldal,6.267232544703471
Grue,8.662116859277964
Hamar,8.488709480004928
Kongsvinger,7.035637867897777
Løten,12
Nord-Odal,7.551795925106274
Os Innlandet,6.371187458175547
Bjørnafjorden,9.96669319165693
Rendalen,12
Ringsaker,12
Stange,12
Stor-Elvdal,6.787775493359051
Sør-Odal,8.349822621227435
Tolga,7.242539201455475
Trysil,5.3798475440038604
Tynset,12
Våler Innlandet,6.0644580686986185
Åmot,6.491862880951046
Åsnes,8.514066870407124
Dovre,12
Etnedal,6.415442891786109
Gausdal,12
Gjøvik,6.9051902961278735
Gran,7.036745695991217
Jevnaker,12
Lesja,6.05444293121379
Lillehammer,12
Lom,8.451169632956725
Lunner,6.883249302333388
Nord-Aurdal,12
Nord-Fron,12
Nordre Land,12
Ringebu,12
Sel,8.578084417855898
Skjåk,7.667255782586951
Søndre Land,6.911750647237671
Sør-Aurdal,6.769122931174747
Sør-Fron,12
Vang,4.72134239175182
Vestre Slidre,12
Vestre Toten,5.807302464658444
Vågå,8.370284629010786
Østre Toten,12
Øyer,12
Øystre Slidre,5.489702422496522
Drammen,7.686373430874223
Flesberg,6.51603289694733
Flå,6.5915382345774445
Gol,12
Hemsedal,4.148484032872962
Hol,7.322476100182132
Hole,8.64885060565525
Kongsberg,12
Krødsherad,12
Lier,7.149484469049698
Modum,12
Nes Buskerud,12
Nore og Uvdal,6.111946101107793
Ringerike,8.794644845260693
Rollag,5.9461862147008295
Sigdal,5.286619857210061
Øvre Eiker,12
Ål,12
Nesbyen,12
Færder,5.635723936909377
Holmestrand,12
Horten,6.753193244376507
Larvik,12
Sandefjord,12
Tønsberg,6.9836419076742136
Bamble,12
Drangedal,12
Fyresdal,6.230113350048101
Hjartdal,12
Kragerø,12
Kviteseid,12
Nissedal,6.918015427028971
Nome,12
Notodden,12
Porsgrunn,12
Seljord,12
Siljan,12
Skien,10.83979214281366
Tinn,5.316101052707276
Tokke,12
Vinje,6.966263492490379
Midt-Telemark,12
Arendal,6.512145570077542
Birkenes,5.788185220122908
Bygland,12
