municipality,var
Oslo,6.5625315141322496
Aremark,5.781830600505385
Fredrikstad,6.149206489462332
Halden,6.898505964047884
Hvaler,5.6196012980797425
Marker,4.9359633486227095
Moss,5.125747488168876
Rakkestad,5.242108928293962
Råde,5.2123883082816675
Sarpsborg,5.855494171368913
Skiptvet,5.101318316027989
Våler Østfold,4.803087534270579
Indre Østfold,5.282019100328636
Bærum,5.240110812012621
Gjerdrum,5.0019736699826565
Hurdal,4.770099418918052
Lørenskog,5.270530685747199
Nannestad,4.99404096023884
Nes Akershus,5.717075285152566
Nesodden,5.764485689672679
Rælingen,5.004121147003785
Ullensaker,5.218233688690348
Vestby,5.2298059964708346
Ås,5.044063869420348
Enebakk,5.310949149205105
Aurskog-Høland,5.610513455351176
Lillestrøm,5.105043219822334
Nittedal,4.608144492427484
Nordre Follo,4.91480752067566
Eidsvoll,5.646300893067456
Asker,4.482288259246282
Frogn,5.071265515165049
Alvdal,5.20887228539932
Eidskog,5.244984478957996
Elverum,4.783736925161256
Engerdal,4.967662245742095
Folldal,5.911209386528264
Grue,6.11707335776014
Hamar,5.815601699670469
Kongsvinger,5.87121456973599
Løten,6.495672649234247
Nord-Odal,5.786066793672007
Os Innlandet,4.728583542638631
Bjørnafjorden,6.525546978892255
Rendalen,5.205259782285489
Ringsaker,5.704429368264485
Stange,6.259468529126223
Stor-Elvdal,5.1135315088269815
Sør-Odal,6.191805207230683
Tolga,5.16858209628361
Trysil,4.571717787489755
Tynset,4.9049775684330745
Våler Innlandet,5.41443762492171
Åmot,4.740068738104104
Åsnes,5.7928890657056575
Dovre,5.304687865365554
Etnedal,4.7602130127796976
Gausdal,4.556621074978621
Gjøvik,5.233051188679211
Gran,4.802828626376227
Jevnaker,5.22238057471754
Lesja,3.8869333861534536
Lillehammer,5.557435902685912
Lom,4.100031260930498
Lunner,4.80917785281652
Nord-Aurdal,5.115056090037538
Nord-Fron,5.39891994857525
Nordre Land,5.595438429883598
Ringebu,5.25457506273208
Sel,5.474788026590654
Skjåk,3.8557545133136246
Søndre Land,5.184051082589427
Sør-Aurdal,4.92845428197398
Sør-Fron,5.0077448671867755
Vang,4.115370319025168
Vestre Slidre,5.220948839890351
Vestre Toten,4.521329681671773
Vågå,4.134555165899868
Østre Toten,4.82438005274527
Øyer,4.945203465634419
Øystre Slidre,4.965522234333898
Drammen,5.187986810236531
Flesberg,5.19527700455212
Flå,4.658955606320465
Gol,5.047348120077996
Hemsedal,3.977267032457846
Hol,4.585935902654685
Hole,3.7102150385653077
Kongsberg,5.323550119926851
Krødsherad,4.687920719996818
Lier,4.738441915621671
Modum,5.4111005115444755
Nes Buskerud,5.309598327046587
Nore og Uvdal,4.588800212802659
Ringerike,5.68149317755317
Rollag,4.47923635093649
Sigdal,4.457668125801844
Øvre Eiker,5.757016327853032
Ål,4.842404353681869
