municipality,var
Oslo,5.154276673095555
Aremark,4.811954182424622
Fredrikstad,4.915203405447477
Halden,6.0122846082910355
Hvaler,4.608956063989197
Marker,4.695118960288884
Moss,4.721754456594704
Rakkestad,4.6875261190619915
Råde,4.419779365710611
Sarpsborg,5.312987068203729
Skiptvet,4.614671153395618
Våler Østfold,4.587080248818441
Indre Østfold,4.485158311042937
Bærum,4.476202532739261
Gjerdrum,4.256375302914699
Hurdal,4.352538927686946
Lørenskog,4.531092318482826
Nannestad,4.442812332781433
Nes Akershus,5.056574188765417
Nesodden,4.944706397875925
Rælingen,4.450500679936412
Ullensaker,4.474248108080595
Vestby,5.447918832830183
Ås,5.160680383566239
Enebakk,4.918732369984672
Aurskog-Høland,4.7017231853563235
Lillestrøm,4.379799768538355
Nittedal,4.163957884213829
Nordre Follo,4.943048754229828
Eidsvoll,5.094206953394902
Asker,4.105679616968162
Frogn,4.3094662870229135
Alvdal,5.557991528710914
Eidskog,4.678462119171733
Elverum,4.680077385964714
Engerdal,4.449260622302561
Folldal,5.752905443035251
Grue,5.352495960376563
Hamar,5.142729757055466
Kongsvinger,4.961371710305919
Løten,5.931265646308798
Nord-Odal,4.626030320353262
Os Innlandet,4.904472928592845
Bjørnafjorden,5.613070292204833
Rendalen,5.156118560405968
Ringsaker,4.959094433824728
Stange,5.6350847673136135
Stor-Elvdal,4.757612808660928
Sør-Odal,5.396959234440912
Tolga,5.392766640916319
Trysil,4.482800111625238
Tynset,5.112365986668676
Våler Innlandet,4.932072537033395
Åmot,3.9427247937578924
Åsnes,5.1089066072007725
Dovre,4.787908322107075
Etnedal,4.7430230362726995
Gausdal,4.562841487538986
Gjøvik,4.549357919895967
Gran,4.145738882884709
Jevnaker,4.510637017095648
Lesja,3.5643310832580455
Lillehammer,4.591911430279247
Lom,4.342197490859294
Lunner,4.117497335237601
Nord-Aurdal,5.148873909376066
Nord-Fron,5.357632496212686
Nordre Land,5.145329374120742
Ringebu,5.373611279271633
Sel,5.094984054476235
Skjåk,3.882942794410687
Søndre Land,4.779816188954444
Sør-Aurdal,4.501673264634497
Sør-Fron,4.8994658930263615
Vang,3.6954638078506403
Vestre Slidre,4.699715658621463
Vestre Toten,4.056034829943246
Vågå,4.311979892821744
Østre Toten,4.127092008712062
Øyer,4.544419406399132
Øystre Slidre,4.678827222966065
Drammen,3.976803943438884
Flesberg,5.043462586407394
Flå,4.3073742521363725
Gol,4.522758575039366
Hemsedal,4.21872481785836
Hol,4.538431608386334
Hole,3.404358896037671
Kongsberg,4.695527417938826
Krødsherad,4.3212687032460915
Lier,3.9721452634815755
Modum,5.101884289572452
Nes Buskerud,4.960008304342942
Nore og Uvdal,5.417686664419803
Ringerike,5.11287726251881
Rollag,4.2463582870450525
Sigdal,4.429310032073828
Øvre Eiker,5.008099097922964
Ål,4.637483352196811
Nesbyen,4.960008304342942
Færder,4.003183139167927
Holmestrand,4.263749705812111
Horten,4.501326885236052
Larvik,4.586490849628189
Sandefjord,5.099371396923243
Tønsberg,4.373970724818472
Bamble,4.419479908219369
Drangedal,4.197540745055241
Fyresdal,4.2447956309065065
Hjartdal,4.732203780214934
Kragerø,3.9691010681065295
Kviteseid,4.751881213111498
Nissedal,4.307724343383336
Nome,5.1027025409378055
Notodden,5.075261730452158
Porsgrunn,4.643172368237474
Seljord,4.335642578069784
Siljan,4.543354909172943
Skien,4.754237448645448
Tinn,4.405201780732665
Tokke,4.979769552185805
Vinje,4.484111910040261
Midt-Telemark,4.468416750268565
Arendal,4.347670866091669
Birkenes,4.54367294144729
Bygland,4.471348348360762
Bykle,3.47445603289411
Evje og Hornnes,4.364699573686975
Froland,3.887699995205105
Gjerstad,4.177996861431758
Grimstad,4.55810519306258
Iveland,3.6432374819343343
Lillesand,4.718034419932789
Risør,4.247681692109071
Tvedestrand,4.308754036577975
Valle,4.510222893792775
Vegårshei,3.8085096346255995
Åmli,4.434134286599457
Farsund,5.076752894727441
Flekkefjord,4.334264906987603
Hægebostad,4.621063396221258
Kristiansand,4.43525111628344
Kvinesdal,5.217943323657692
Lindesnes,3.7298489362292804
Lyngdal,4.457957298742914
Sirdal,4.707396937486251
Vennesla,4.3222564186936845
Åseral,3.733958377297568
Bjerkreim,5.593119770039933
Bokn,4.735286600279871
Eigersund,4.73078039685436
Gjesdal,4.557522987433368
Haugesund,4.625759957384068
Hjelmeland,4.227589941453174
Hå,4.382749763975807
Karmøy,4.487737014063183
Klepp,5.207432532118945
Kvitsøy,5.12380927747506
Lund,4.786442699022057
Randaberg,5.011673522023576
Sandnes,5.290261958655726
Sauda,3.659443477215405
Sokndal,4.5615405247261185
Sola,5.371741495126699
Stavanger,4.929024941570138
Strand,4.815139300870376
Suldal,3.980566527269208
Time,5.20445595428697
Tysvær,5.425752266554311
