municipality,var
Oslo,5.4541833917709495
Aremark,5.096937261997321
Fredrikstad,5.226611213691177
Halden,6.274490600791675
Hvaler,4.9394433769461505
Marker,4.668949148877273
Moss,4.904326671052806
Rakkestad,4.82271805472398
Råde,4.714065299353963
Sarpsborg,5.505921202040912
Skiptvet,4.751719110316181
Våler Østfold,4.6369164358020605
Indre Østfold,4.694544973801909
Bærum,4.64836317713442
Gjerdrum,4.362179971168577
Hurdal,4.391947156169964
Lørenskog,4.676438633731285
Nannestad,4.521291455814341
Nes Akershus,5.217925555483989
Nesodden,5.135341033653972
Rælingen,4.578415464954292
Ullensaker,4.536047695414785
Vestby,5.324403848839775
Ås,5.0892467431291015
Enebakk,5.027045845746079
Aurskog-Høland,4.919087314894118
Lillestrøm,4.536340429487605
Nittedal,4.195685997505308
Nordre Follo,4.893954348329853
Eidsvoll,5.181494915820797
Asker,4.150050530704488
Frogn,4.492850169469662
Alvdal,5.369886431149684
Eidskog,4.78285062549465
Elverum,4.5298191106887415
Engerdal,4.659757854421598
Folldal,5.847272802601807
Grue,5.475696529426754
Hamar,5.169803449817644
Kongsvinger,5.198826277371399
Løten,5.9649751934246025
Nord-Odal,4.90594880847275
Os Innlandet,4.8117114923920745
Bjørnafjorden,5.876136756257193
Rendalen,5.183130780480029
Ringsaker,5.07048079815678
Stange,5.664173214371494
Stor-Elvdal,4.766820442432161
Sør-Odal,5.568471115537631
Tolga,5.288844741932651
Trysil,4.543632069515167
Tynset,5.022898888679855
Våler Innlandet,5.051908589974603
Åmot,4.193651807475249
Åsnes,5.240482736854739
Dovre,4.938931807585868
Etnedal,4.727136646150718
Gausdal,4.545627737037858
Gjøvik,4.5917910868819485
Gran,4.136157576792514
Jevnaker,4.530408643941664
Lesja,3.7276976956880525
Lillehammer,4.732793297989581
Lom,4.227127392522612
Lunner,4.216925515924069
Nord-Aurdal,5.064710014645536
Nord-Fron,5.227451939382572
Nordre Land,5.288206628786512
Ringebu,5.162712087919552
Sel,5.19371090419922
Skjåk,3.886417166637542
Søndre Land,4.867786578970559
Sør-Aurdal,4.601106657461744
Sør-Fron,4.877270442285916
Vang,3.8885498900935005
Vestre Slidre,4.844643899526224
Vestre Toten,4.121804140374444
Vågå,4.228079819970829
Østre Toten,4.222957703090789
Øyer,4.467004689984709
Øystre Slidre,4.813433837030914
Drammen,4.289636779044045
Flesberg,4.982834883434236
Flå,4.437721895541107
Gol,4.618408882467381
Hemsedal,4.013434411389103
