municipality,var
Oslo,0.6501915099388558
Aremark,0.663060312327759
Fredrikstad,0.6858378414137655
Halden,0.6928583729824989
Hvaler,0.7819156413065445
Marker,0.5810067504621573
Moss,0.6460453008581475
Rakkestad,0.6241239412930801
Råde,0.6448433793516091
Sarpsborg,0.7053696674472153
Skiptvet,0.6160988617962008
Våler Østfold,0.6161122542218296
Indre Østfold,0.6176996194823189
Bærum,0.621539494638826
Gjerdrum,0.5733812785320667
Hurdal,0.5166343690165255
Lørenskog,0.5857732613991212
Nannestad,0.5762517227092154
Nes Akershus,0.5791190534859761
Nesodden,0.6137966671105536
Rælingen,0.5692031244858302
Ullensaker,0.5348253843848407
Vestby,0.6157917797753062
Ås,0.6609456861001012
Enebakk,0.6408140160034497
Aurskog-Høland,0.5765803071175841
Lillestrøm,0.6351932243830237
Nittedal,0.5830048846438808
Nordre Follo,0.6140658950890031
Eidsvoll,0.4753681339148676
Asker,0.5589896980042188
Frogn,0.6142687812100994
Alvdal,0.4973117748268211
Eidskog,0.5477116244108126
Elverum,0.5267048985492978
Engerdal,0.38395261610775666
Folldal,0.4597271929160157
Grue,0.4865320353574078
Hamar,0.5786724000544963
Kongsvinger,0.5571045148518974
Løten,0.5427595645997666
Nord-Odal,0.5216186991277209
Os Innlandet,0.39509284194127625
Bjørnafjorden,1.211034539195534
Rendalen,0.5185948990253076
Ringsaker,0.5632646501385613
Stange,0.540936143132384
Stor-Elvdal,0.500725628212354
Sør-Odal,0.541351638022843
Tolga,0.40766792648802563
Trysil,0.46354455596562044
Tynset,0.45864546443583354
Våler Innlandet,0.48588765542757795
Åmot,0.48149897732941566
Åsnes,0.539626981720623
Dovre,0.5106257836489804
Etnedal,0.48032042623187443
Gausdal,0.5799519675668997
Gjøvik,0.6015702911273164
Gran,0.4893570352890539
Jevnaker,0.5350913284571316
Lesja,0.4849199702857452
Lillehammer,0.5102598074321029
Lom,0.5245451642375708
Lunner,0.5090101226845387
Nord-Aurdal,0.5072444257418309
Nord-Fron,0.5501001833727893
Nordre Land,0.5209301672903984
Ringebu,0.5654405881086743
Sel,0.5494831021300962
Skjåk,0.5599992528632859
Søndre Land,0.6004359315022362
Sør-Aurdal,0.5428602987965234
Sør-Fron,0.49343986212456986
Vang,0.4452923718103438
Vestre Slidre,0.5110028646542049
Vestre Toten,0.5716273294810507
Vågå,0.44827382911121805
Østre Toten,0.5536919958212098
Øyer,0.5207874171346933
Øystre Slidre,0.4308054291977405
Drammen,0.5214505603137964
Flesberg,0.5056962029284073
Flå,0.5196010168193423
Gol,0.5333012021732916
Hemsedal,0.38056886149519437
Hol,0.5447800074981866
Hole,0.6057144271572971
Kongsberg,0.519928612503311
Krødsherad,0.5676043641331242
Lier,0.5689303308838516
Modum,0.5756205157506739
Nes Buskerud,0.512421428747392
Nore og Uvdal,0.4618905179019553
Ringerike,0.5958962266216224
Rollag,0.549205863314733
Sigdal,0.4185382421064369
Øvre Eiker,0.49375725559581596
Ål,0.5033459906400528
Nesbyen,0.512421428747392
Færder,0.741306970357834
Holmestrand,0.6039016783851667
Horten,0.7199830642640535
Larvik,0.8251661072913613
Sandefjord,0.8098194690051772
Tønsberg,0.6955010331158308
Bamble,0.890222077995442
Drangedal,0.6394830460553314
Fyresdal,0.5958766264809621
Hjartdal,0.4967839130991489
Kragerø,0.8888586895366328
Kviteseid,0.5015522199227397
Nissedal,0.589812540549721
Nome,0.6152082264081268
Notodden,0.5267242018208926
Porsgrunn,0.7639471018836397
Seljord,0.5297429877049492
Siljan,0.5172925337077187
Skien,0.7183672020814801
Tinn,0.4763840923456674
Tokke,0.5427465271117438
Vinje,0.5271757867661188
Midt-Telemark,0.5117105168203228
Arendal,0.8929026051766562
Birkenes,0.8046838616695245
Bygland,0.6033335991721506
Bykle,0.5123586171779527
Evje og Hornnes,0.6759534047193669
Froland,0.8438375270665059
Gjerstad,0.7126048904647411
Grimstad,0.8294700857142102
Iveland,0.686102016531657
Lillesand,0.8629162382053708
Risør,0.8623713327364481
Tvedestrand,0.8349835953386273
Valle,0.5921114267307268
Vegårshei,0.7488918553949904
Åmli,0.6532417788380939
Farsund,0.9239594492712294
Flekkefjord,0.8953977451669897
Hægebostad,0.5766943187033297
Kristiansand,0.8567834567588555
Kvinesdal,0.8110707810678793
Lindesnes,0.8376272268742975
Lyngdal,0.9203634702392147
Sirdal,0.6394662837324571
Vennesla,0.7788371553208701
Åseral,0.5558152315331476
Bjerkreim,0.8177950259200983
Bokn,1.1481961229894018
Eigersund,1.0777813973742894
Gjesdal,0.7833787726114195
Haugesund,1.1500996615313492
Hjelmeland,1.0214711739020936
Hå,1.0317357843782016
Karmøy,1.1696737492940206
Klepp,0.9749481069426744
Kvitsøy,1.1069063873410996
Lund,0.8142084393102247
Randaberg,1.0754883689864128
Sandnes,0.9544332806214051
Sauda,0.7535614956551049
Sokndal,0.900006991179981
Sola,1.00367266445938
Stavanger,1.0712462553483506
Strand,0.8491229910650726
Suldal,0.6744351309251634
Time,1.0437037178741146
Tysvær,1.105605955749853
Vindafjord,1.043719826926067
Askøy,1.4145648083576847
Austevoll,1.3151263026724083
Austrheim,1.4034429036287224
Bergen,1.4035868815890833
Bømlo,1.5990092979048218
Eidfjord,0.8663560370350436
Etne,1.1136361736186813
Fedje,1.4979451619672834
Fitjar,1.4029889897543202
Fusa,0.9668407858431828
Jondal,0.7981044986253415
Kvam,0.83752576835908
Kvinnherad,1.0083140846095457
Lindås,0.5984135988185876
Masfjorden,1.0258561653895824
Meland,1.4215601440020986
Modalen,0.7058409153932895
Odda,0.7364794696383627
Os Vestland,1.211034539195534
Osterøy,1.0737328726960012
Voss,0.7010722848042907
Øygarden,1.2039923653543194
Ullensvang,0.7364794696383627
Alver,1.6714814645992262
Vaksdal,0.6928182245343922
Samnanger,0.6973517556411455
Ulvik,0.7395496973803078
Sveio,1.1553573587641077
Stord,1.2069653457361778
Tysnes,1.3010458240314178
Askvoll,1.1616629471979372
Aurland,0.7881441865787694
Bremanger,1.3203869260669714
Stad,0.8080150184452951
Fjaler,0.9770260444823258
Kinn,1.429096083735681
Førde,0.8287670179088292
Gloppen,0.7028415890534734
Gulen,1.2437936302215524
Hornindal,0.7221727107912755
Hyllestad,1.0923022242088958
Høyanger,0.7998024440114226
Jølster,0.6580397485743698
Leikanger,0.9851070910192979
Luster,0.8720344603389617
Lærdal,1.0913008553404826
Naustdal,0.789831703991504
Sogndal,1.0317684621477965
Solund,1.2831876517127996
Stryn,0.7023182810681924
Vik,1.2149509353762662
Årdal,0.7007033498102828
Sunnfjord,0.8287670179088292
Aukra,1.4338763125166523
Aure,0.7361082517084773
Averøy,0.9059767778575359
Hustadvika,1.0351254865564035
Fræna,1.0351254865564035
Giske,1.2523842374516063
Gjemnes,0.7588934133886622
Halsa,0.8106677784523013
Haram,1.3973972963425743
Hareid,0.987678963300184
Herøy Møre og Romsdal,1.4146960127424955
Kristiansund,0.8592256662314168
Midsund,1.4157507264897733
Molde,1.1633802674137392
Nesset,0.6713458729325926
Norddal,0.8609041533679147
Rauma,0.869664634400948
Rindal,0.6130905379527475
Sande,1.068774716197409
Skodje,1.0040495605552258
Smøla,0.8927095955176215
Stordal,0.8302090446845953
Stranda,0.9503184590466567
Sula,1.0679746531595258
Sunndal,0.7292950828544968
Surnadal,0.6292220032458148
Sykkylven,0.9116885529097737
Tingvoll,0.7357665958681348
Ulstein,1.0942110071220332
Vanylven,0.8503731419107402
Vestnes,1.034664999517085
Volda,0.7469035514143023
Ørskog,0.9541994638931962
Fjord,0.8609041533679147
Ørsta,0.7497516584392888
Ålesund,1.1867885488695342
Flatanger,0.6035711613034641
Frosta,0.6594134777195351
Frøya,1.0490840931614323
Grong,0.5349755995657823
Heim,0.6890594613166321
Hitra,0.8428381142264538
Holtålen,0.45626156005949675
Høylandet,0.4803175282246815
Inderøy,0.6452735930067798
Indre Fosen,0.6800779921453581
Klæbu,0.5199523378879617
Leka,0.6572561792225639
Levanger,0.6515780581863819
Lierne,0.38450494675697217
Malvik,0.6355219855994029
Orkland,0.5412831947079159
Meråker,0.5187389180155472
Midtre Gauldal,0.5393982383490127
Namsos,0.6213232347467804
Namsskogan,0.4735909006050014
Oppdal,0.4709839867646284
Selbu,0.47573011491153916
Trondheim,0.6744424454619447
Tydal,0.4586422458576755
Verdal,0.608369993970354
Ørland,0.7879757672133241
Stjørdal,0.6658785408555137
Osen,0.6848970876315471
Skaun,0.5673195629378359
Melhus,0.5424752565108565
Nærøysund,0.547069093103894
Steinkjer,0.594820133262155
Åfjord,0.7184236617588969
Rennebu,0.49624174136254795
Overhalla,0.5001576533660994
Røros,0.41707119967410594
Røyrvik,0.42768968751341657
Snåsa,0.4862205575587666
Alstahaug,0.6234167761443544
Andøy,0.6479054018539658
Ballangen,0.5507190154466536
Beiarn,0.5338656908793922
Bindal,0.537284459330785
Bodø,0.6871938748930484
Brønnøy,0.5767776103398239
Bø Vesterålen,0.6921147269974007
Dønna,0.6906114886970134
Evenes,0.6239583358449102
Fauske,0.5760076462122982
Flakstad,0.7805086879658052
Gildeskål,0.6578438982247653
Grane,0.4987517755709073
Hadsel,0.7149184266284042
Hamarøy,0.6083324551765992
Hattfjelldal,0.4473432154825646
Hemnes,0.5468308529333307
Herøy Nordland,0.6991776014058186
Leirfjord,0.5949703039764896
Lurøy,0.7155427713557336
Lødingen,0.6103511398659767
Meløy,0.637959352986901
Moskenes,0.7371164659856699
Narvik,0.5689376337222174
Nesna,0.5967025406151014
Rana,0.541332544298828
Rødøy,0.7625057009343515
Saltdal,0.4766932424984943
Sortland,0.695257106910222
Steigen,0.6790045788843988
