municipality,var
Oslo,0.7349686282087082
Aremark,0.6112610437243109
Fredrikstad,0.7340010075951023
Halden,0.5960091273063911
Hvaler,0.668158238021884
Marker,0.6169577281233026
Moss,0.6421192516791783
Rakkestad,0.679577534021588
Råde,0.6824995582034289
Sarpsborg,0.6538277375213768
Skiptvet,0.660649725049149
Våler Østfold,0.6645213993691937
Indre Østfold,0.6354916082352865
Bærum,0.6614335711787863
Gjerdrum,0.6212844514810587
Hurdal,0.49949877983556085
Lørenskog,0.6561955348967808
Nannestad,0.5086891642616801
Nes Akershus,0.5896718735414817
Nesodden,0.6472894815837238
Rælingen,0.6347594617366794
Ullensaker,0.558115586445461
Vestby,0.5873461546910025
Ås,0.5894153471062828
Enebakk,0.5497837292386495
Aurskog-Høland,0.6050234443763297
Lillestrøm,0.6792433389082123
Nittedal,0.6026263739089041
Nordre Follo,0.5754425581026982
Eidsvoll,0.5622924217281626
Asker,0.5803027519654492
Frogn,0.6460566449953435
Alvdal,0.4412036797818958
Eidskog,0.5562576321079056
Elverum,0.5053948320414083
Engerdal,0.3676629792336913
Folldal,0.4094558940746643
Grue,0.5239591995244182
Hamar,0.6124100602314605
Kongsvinger,0.5421364610681932
Løten,0.5836709547900366
Nord-Odal,0.5516151772771282
Os Innlandet,0.37848814669120995
Bjørnafjorden,0.6468010106118668
Rendalen,0.35995489733091707
Ringsaker,0.4881073859077898
Stange,0.5538017989131532
Stor-Elvdal,0.40996898940331966
Sør-Odal,0.5234030335523467
Tolga,0.370984516178842
Trysil,0.3528353803360529
Tynset,0.4126171797452836
Våler Innlandet,0.42513873795098495
Åmot,0.4561763541769616
Åsnes,0.4633464548071185
Dovre,0.46046072945380945
Etnedal,0.44002890648310544
Gausdal,0.41759443317979844
Gjøvik,0.5302834912114316
Gran,0.5472391166041674
Jevnaker,0.5863498799436504
Lesja,0.4970997746684633
Lillehammer,0.48790583091054934
Lom,0.4963790423724312
Lunner,0.5171217639153289
Nord-Aurdal,0.4554131691368184
Nord-Fron,0.5044129135403352
Nordre Land,0.4656565242538697
Ringebu,0.47163165240225086
Sel,0.4976282905493681
Skjåk,0.544529302398554
Søndre Land,0.4580186547990791
Sør-Aurdal,0.49914284103784423
Sør-Fron,0.4570725890999285
Vang,0.4405576317769649
Vestre Slidre,0.4589703331547922
Vestre Toten,0.4675296232842502
Vågå,0.5106854453390587
Østre Toten,0.5023978498584416
Øyer,0.4995687427771396
Øystre Slidre,0.38808238959443375
Drammen,0.6991356769178323
Flesberg,0.4959121699154884
Flå,0.5078437535994246
Gol,0.4771051163792809
Hemsedal,0.4438370367069255
Hol,0.4034227527737149
Hole,0.5850639992833142
Kongsberg,0.5294930539289652
Krødsherad,0.5207459410104016
Lier,0.6640654335860657
Modum,0.525959283781854
Nes Buskerud,0.46580184381695217
Nore og Uvdal,0.49766902279735414
Ringerike,0.6072407187965003
Rollag,0.49491967299282363
Sigdal,0.47332173542025247
Øvre Eiker,0.6459072465047062
Ål,0.4321464063748758
Nesbyen,0.46580184381695217
Færder,0.7116298976786537
Holmestrand,0.6365647675518461
Horten,0.6529025821031444
Larvik,0.6837303783545735
Sandefjord,0.6759427440594424
Tønsberg,0.6968912569443217
Bamble,0.6859686664142396
Drangedal,0.6610107638908704
Fyresdal,0.5646933087508982
Hjartdal,0.5635295004705004
Kragerø,0.7228590624215219
Kviteseid,0.6903629372023131
Nissedal,0.5568817629024301
Nome,0.6814284382831488
Notodden,0.6198082648040439
Porsgrunn,0.6855824853260759
Seljord,0.6772882647530953
Siljan,0.607951954188352
Skien,0.6975058609915539
Tinn,0.5232831307341598
Tokke,0.561309172992055
Vinje,0.44239709476657063
Midt-Telemark,0.6294455678231796
Arendal,0.765717270607816
Birkenes,0.6946449383679592
Bygland,0.62046048314819
Bykle,0.46548479166999684
Evje og Hornnes,0.627836959641407
Froland,0.7004896510210838
Gjerstad,0.6694007047192501
Grimstad,0.6908963339447624
Iveland,0.5658635106719331
Lillesand,0.7631134816621855
Risør,0.6988830465172609
Tvedestrand,0.6933154309494708
Valle,0.5628570699115784
Vegårshei,0.6357666914532599
Åmli,0.6504305519993058
Farsund,0.7550080526246294
Flekkefjord,0.6684229780981167
Hægebostad,0.6267379494151658
Kristiansand,0.8033564894499827
Kvinesdal,0.6948846074287979
Lindesnes,0.850232134624064
Lyngdal,0.7797599542715499
Sirdal,0.6528945106712263
Vennesla,0.7428480144450981
Åseral,0.5927532105281397
Bjerkreim,0.6340538554412312
Bokn,0.6775059184565559
Eigersund,0.6976863294360339
Gjesdal,0.6359997225062111
Haugesund,0.6932952798945857
Hjelmeland,0.7155160766141613
Hå,0.7493091417356067
Karmøy,0.6918223555236569
Klepp,0.7078700910381985
Kvitsøy,0.7487809783364965
Lund,0.6204465819858855
Randaberg,0.7500768138515875
Sandnes,0.7143730935466674
Sauda,0.6608540420699894
Sokndal,0.6727032237309772
Sola,0.7334373053666644
Stavanger,0.7507520196435561
Strand,0.6843722221074572
Suldal,0.7254746400758175
Time,0.7572511486874821
Tysvær,0.6173783613783022
Vindafjord,0.5967732445883103
Askøy,0.6553874047074982
Austevoll,0.6620070440862932
Austrheim,0.6137709344145965
Bergen,0.6100002218702493
Bømlo,0.7201990354179493
Eidfjord,0.6035528975100088
Etne,0.6091898507495188
Fedje,0.6854992791713429
Fitjar,0.662045914747164
Fusa,0.6165897989616859
Jondal,0.7245023391081808
Kvam,0.6714384347303547
Kvinnherad,0.6366966419403952
Lindås,0.6326610391469419
Masfjorden,0.6320919919939452
Meland,0.6504726635052347
Modalen,0.6564213588718637
Odda,0.6019799843592109
Os Vestland,0.6468010106118668
Osterøy,0.6495398067449073
Voss,0.6075115904416678
Øygarden,0.624051498162207
Ullensvang,0.6019799843592109
Alver,0.6477062018561464
Vaksdal,0.6003514294340769
Samnanger,0.6364601699281252
Ulvik,0.6398629053176754
Sveio,0.686006631198228
Stord,0.6692699110241278
Tysnes,0.6744710782023875
Askvoll,0.6529573541771664
Aurland,0.6108621852185776
Bremanger,0.6714049328075832
Stad,0.6142893990170624
Fjaler,0.6510345505099541
Kinn,0.679844237544779
Førde,0.6108517850584317
Gloppen,0.6541159139920101
Gulen,0.682084493723103
