municipality,var
Oslo,[6.6]
Aremark,[117.99]
Fredrikstad,[5.7]
Halden,[3.14]
Hvaler,[8.38]
Marker,[118.0]
Moss,[-4.3]
Rakkestad,[108.56]
Råde,[48.41]
Sarpsborg,[51.1]
Skiptvet,[97.37]
Våler Østfold,[69.43]
Indre Østfold,[128.76]
Bærum,[13.01]
Gjerdrum,[177.62]
Hurdal,[199.89]
Lørenskog,[155.11]
Nannestad,[180.96]
Nes Akershus,[120.86]
Nesodden,[50.57]
Rælingen,[168.79]
Ullensaker,[206.09]
Vestby,[77.36]
Ås,[97.64]
Enebakk,[164.09]
Aurskog-Høland,[133.55]
Lillestrøm,[108.83]
Nittedal,[127.04]
Nordre Follo,[146.85]
Eidsvoll,[122.99]
Asker,[129.49]
Frogn,[64.31]
Alvdal,[504.44]
Eidskog,[149.66]
Elverum,[191.38]
Engerdal,[590.92]
Folldal,[714.97]
Grue,[153.84]
Hamar,[146.86]
Kongsvinger,[148.17]
Løten,[240.01]
Nord-Odal,[131.78]
Os Innlandet,[597.72]
Bjørnafjorden,[4.75]
Rendalen,[360.92]
Ringsaker,[271.6]
Stange,[218.94]
Stor-Elvdal,[321.78]
Sør-Odal,[137.55]
Tolga,[537.87]
Trysil,[352.4]
Tynset,[497.48]
Våler Innlandet,[372.55]
Åmot,[217.97]
Åsnes,[183.79]
Dovre,[473.09]
Etnedal,[387.06]
Gausdal,[291.33]
Gjøvik,[127.19]
Gran,[232.8]
Jevnaker,[184.98]
Lesja,[615.59]
Lillehammer,[185.05]
Lom,[363.71]
Lunner,[239.3]
Nord-Aurdal,[355.0]
Nord-Fron,[258.95]
Nordre Land,[160.71]
Ringebu,[181.51]
Sel,[347.37]
Skjåk,[413.21]
Søndre Land,[232.42]
Sør-Aurdal,[243.29]
Sør-Fron,[296.2]
Vang,[512.16]
Vestre Slidre,[366.0]
Vestre Toten,[323.08]
Vågå,[381.08]
Østre Toten,[251.46]
Øyer,[177.93]
Øystre Slidre,[744.58]
Drammen,[-0.03]
Flesberg,[377.48]
Flå,[144.9]
Gol,[272.47]
Hemsedal,[612.98]
Hol,[542.0]
Hole,[104.61]
Kongsberg,[163.15]
Krødsherad,[133.0]
Lier,[30.23]
Modum,[63.0]
Nes Buskerud,[276.69]
Nore og Uvdal,[489.19]
Ringerike,[69.73]
Rollag,[218.38]
Sigdal,[319.06]
Øvre Eiker,[4.14]
Ål,[449.07]
Nesbyen,[276.69]
Færder,[7.08]
Holmestrand,[73.28]
Horten,[26.15]
Larvik,[4.57]
Sandefjord,[7.9]
Tønsberg,[22.92]
Bamble,[2.12]
Drangedal,[79.0]
Fyresdal,[290.96]
Hjartdal,[87.16]
Kragerø,[-7.8]
Kviteseid,[77.73]
Nissedal,[296.02]
Nome,[22.96]
Notodden,[20.9]
Porsgrunn,[5.41]
Seljord,[168.91]
Siljan,[135.52]
Skien,[4.8]
Tinn,[341.82]
Tokke,[115.15]
Vinje,[458.53]
Midt-Telemark,[75.6]
Arendal,[0.81]
Birkenes,[81.57]
Bygland,[202.98]
Bykle,[646.59]
Evje og Hornnes,[176.75]
Froland,[40.5]
Gjerstad,[76.17]
Grimstad,[39.76]
Iveland,[278.1]
Lillesand,[14.74]
Risør,[33.55]
Tvedestrand,[76.71]
Valle,[316.17]
Vegårshei,[165.05]
Åmli,[150.83]
Farsund,[39.78]
Flekkefjord,[47.57]
Hægebostad,[190.11]
Kristiansand,[7.11]
Kvinesdal,[3.58]
Lindesnes,[3.27]
Lyngdal,[7.77]
Sirdal,[59.76]
Vennesla,[63.86]
Åseral,[268.45]
Bjerkreim,[60.55]
Bokn,[60.26]
Eigersund,[70.44]
Gjesdal,[136.35]
Haugesund,[24.27]
Hjelmeland,[13.54]
Hå,[48.86]
Karmøy,[19.31]
Klepp,[33.69]
Kvitsøy,[2.89]
Lund,[55.67]
Randaberg,[32.57]
Sandnes,[1.66]
Sauda,[20.86]
Sokndal,[76.28]
Sola,[10.52]
Stavanger,[47.95]
Strand,[28.37]
Suldal,[76.17]
Time,[25.75]
Tysvær,[30.37]
Vindafjord,[1.73]
Askøy,[13.1]
Austevoll,[30.07]
Austrheim,[19.96]
Bergen,[70.66]
Bømlo,[20.52]
Eidfjord,[20.22]
Etne,[0.94]
Fedje,[2.48]
Fitjar,[71.62]
Fusa,[58.4]
Jondal,[12.87]
Kvam,[15.84]
Kvinnherad,[6.02]
Lindås,[53.22]
Masfjorden,[115.21]
Meland,[27.22]
Modalen,[10.84]
Odda,[1.81]
Os Vestland,[4.75]
Osterøy,[83.99]
Voss,[104.49]
