municipality,var
Oslo,3.800000858325434
Aremark,3.800000003335694
Fredrikstad,3.7999987394123624
Halden,3.800001327208679
Hvaler,3.7999996377200986
Marker,3.799999826837295
Moss,3.7999996458608263
Rakkestad,3.8000002129344366
Råde,3.799999437817453
Sarpsborg,3.8000001167986173
Skiptvet,3.7999990082037134
Våler Østfold,3.799999479281107
Indre Østfold,3.8000004488492967
Bærum,3.8000003491376475
Gjerdrum,3.8000002929596928
Hurdal,3.80000009026483
Lørenskog,3.8000002954698298
Nannestad,3.800000373327301
Nes Akershus,3.800000521887266
Nesodden,3.80000064539955
Rælingen,3.7999995935133692
Ullensaker,3.7999996975259496
Vestby,3.799999924045006
Ås,3.800000404540938
Enebakk,3.7999993290676386
Aurskog-Høland,3.800000700920537
Lillestrøm,3.8000003629204353
Nittedal,3.8000000592099945
Nordre Follo,3.800000354583125
Eidsvoll,3.799999723457731
Asker,3.8000003630932677
Frogn,3.7999998788909704
Alvdal,3.8000005268349883
Eidskog,3.799999742815657
Elverum,3.8000000800910296
Engerdal,3.8000001979430302
Folldal,3.8000008719776646
Grue,3.8000005296098944
Hamar,3.7999998175759133
Kongsvinger,3.800000412084337
Løten,3.7999996507576475
Nord-Odal,3.7999998331190894
Os Innlandet,3.7999995904515864
Bjørnafjorden,3.7999993864772024
Rendalen,3.7999998018521857
Ringsaker,3.7999996011410397
Stange,3.8000013023014785
Stor-Elvdal,3.7999991520393714
Sør-Odal,3.799999788479102
Tolga,3.7999999181293145
Trysil,3.800000491498049
Tynset,3.8000004767437034
Våler Innlandet,3.80000004972233
Åmot,3.80000023075906
Åsnes,3.800000589341074
Dovre,3.799999456786849
Etnedal,3.800000820155644
Gausdal,3.8000004259224203
Gjøvik,3.80000043051663
Gran,3.799999667276589
Jevnaker,3.7999998372682056
Lesja,3.8000002038757468
Lillehammer,3.8000002225542175
Lom,3.79999963274257
Lunner,3.8000000611260925
Nord-Aurdal,3.7999998216125506
Nord-Fron,3.8000005438200093
Nordre Land,3.8000010019519994
Ringebu,3.8000000227357615
Sel,3.799999723812518
Skjåk,3.8000001144112763
Søndre Land,3.7999995507431277
Sør-Aurdal,3.7999998149521343
Sør-Fron,3.8000001603271674
Vang,3.7999999247944682
Vestre Slidre,3.80000058989244
Vestre Toten,3.7999997489063952
Vågå,3.7999998399803183
Østre Toten,3.800000379657672
Øyer,3.8000001019178544
Øystre Slidre,3.7999997906123872
Drammen,3.7999991919550338
Flesberg,3.800000147558976
Flå,3.8000009530390724
Gol,3.7999999383031082
Hemsedal,3.800000175906842
Hol,3.800000314961355
Hole,3.800000168797387
Kongsberg,3.7999995909852116
Krødsherad,3.800000350687064
Lier,3.7999997870135167
Modum,3.7999994560300214
Nes Buskerud,3.7999994729101996
Nore og Uvdal,3.799999612553033
Ringerike,3.8000003755341467
Rollag,3.799999947003253
Sigdal,3.8000002300085987
Øvre Eiker,3.800000571040804
Ål,3.8000001272736075
Nesbyen,3.7999994729101996
Færder,3.799999988706504
Holmestrand,3.7999997596407304
Horten,3.800000393654232
Larvik,3.800000318097036
Sandefjord,3.799999758965147
Tønsberg,3.799999667955807
Bamble,3.8000000158406437
Drangedal,3.8000006416318985
Fyresdal,3.8000002300040694
Hjartdal,3.800000441193404
Kragerø,3.800000166162073
Kviteseid,3.7999994873793224
Nissedal,3.8000000019474665
Nome,3.7999993352352734
Notodden,3.800000439930963
Porsgrunn,3.800000508289549
Seljord,3.7999997386942304
Siljan,3.800000123408055
Skien,3.7999990318103007
Tinn,3.7999996164000778
Tokke,3.7999995109054887
Vinje,3.800000174056293
Midt-Telemark,3.7999995426515034
Arendal,3.800000372739021
Birkenes,3.8000004024783123
Bygland,3.7999998299224145
Bykle,3.799999819601606
Evje og Hornnes,3.7999990035637885
Froland,3.800000331594281
Gjerstad,3.8000000520048265
Grimstad,3.800000198067565
Iveland,3.799999926269182
Lillesand,3.800000534574679
Risør,3.7999994675182958
Tvedestrand,3.7999996063809043
Valle,3.799999560599712
Vegårshei,3.8000000807576186
Åmli,3.800000318938204
Farsund,3.8000006979672656
Flekkefjord,3.7999993897046944
Hægebostad,3.799999563348224
Kristiansand,3.800000606002329
Kvinesdal,3.7999994710299267
Lindesnes,3.800000130387167
Lyngdal,3.800000247512698
Sirdal,3.7999997718456275
Vennesla,3.799999754329958
Åseral,3.7999997334335105
Bjerkreim,3.7999996745855595
Bokn,3.8000003089994205
Eigersund,3.799999186448367
Gjesdal,3.8000003142537557
Haugesund,3.8000010519271528
Hjelmeland,3.8000004162639476
Hå,3.800000332672875
Karmøy,3.8000003724633418
Klepp,3.7999981867381316
Kvitsøy,3.799999028506633
Lund,3.799998783298361
Randaberg,3.7999986301244686
Sandnes,3.799999840868701
Sauda,3.800000564258807
Sokndal,3.7999994383087525
Sola,3.8000001138838124
Stavanger,3.8000015357477346
Strand,3.799999187271135
Suldal,3.7999994271272404
Time,3.799999353498152
Tysvær,3.800000358385634
Vindafjord,3.8000001208530927
Askøy,3.800001485236319
Austevoll,3.7999995198697496
Austrheim,3.799999981882652
Bergen,3.7999998970987785
Bømlo,3.7999985538816743
Eidfjord,3.7999995023394737
Etne,3.799999094700824
Fedje,3.7999990128236676
Fitjar,3.7999989493835034
Fusa,3.8000009150632716
Jondal,3.8000003151165167
Kvam,3.7999998130991157
Kvinnherad,3.8000010997540774
Lindås,3.799999867305897
Masfjorden,3.8000002652171463
Meland,3.79999890669693
Modalen,3.8000001823000686
Odda,3.8000004976543273
Os Vestland,3.7999993864772024
Osterøy,3.800000006570748
Voss,3.800000314418142
Øygarden,3.7999994287521663
Ullensvang,3.8000004976543273
Alver,3.79999977582408
Vaksdal,3.799999885545389
Samnanger,3.8000004466941157
Ulvik,3.7999995324306735
Sveio,3.7999999324279754
Stord,3.7999997917252406
Tysnes,3.799999672921935
Askvoll,3.799999830015087
Aurland,3.800000734895578
Bremanger,3.7999999681369063
Stad,3.800000358179516
Fjaler,3.7999995432696947
Kinn,3.8000001327176007
Førde,3.8000004306693547
Gloppen,3.800000234111024
Gulen,3.800000543603367
Hornindal,3.79999995173091
Hyllestad,3.7999986762917857
Høyanger,3.7999999148107215
Jølster,3.800000083588429
Leikanger,3.800000376485538
Luster,3.799999573179968
Lærdal,3.8000002107094923
Naustdal,3.8000006727779376
Sogndal,3.799999733249746
Solund,3.800000157089359
Stryn,3.800000183546148
Vik,3.799999727461433
Årdal,3.7999991887667735
Sunnfjord,3.8000004306693547
Aukra,3.8000005857331995
Aure,3.7999995958349118
Averøy,3.7999993784576693
Hustadvika,3.8000001357836224
Fræna,3.8000001357836224
Giske,3.799999592785199
Gjemnes,3.800000491804073
Halsa,3.800000294942157
Haram,3.8000005191522908
Hareid,3.79999955232042
Herøy Møre og Romsdal,3.799998780860729
Kristiansund,3.8000003488260066
Midsund,3.800000154718298
Molde,3.799999488972703
Nesset,3.800000201572814
Norddal,3.8000007819536665
Rauma,3.7999998202373235
Rindal,3.8000003614850963
Sande,3.7999993699624897
Skodje,3.7999996838651584
Smøla,3.799999650274137
Stordal,3.7999995665703756
Stranda,3.800000056550283
Sula,3.7999996587169225
Sunndal,3.7999995586581776
Surnadal,3.8000001893368873
Sykkylven,3.8000001918800264
Tingvoll,3.7999996409532955
Ulstein,3.8000001122709275
Vanylven,3.8000006552603227
Vestnes,3.800000370728266
Volda,3.7999991763738334
Ørskog,3.8000005038841427
Fjord,3.8000007819536665
Ørsta,3.8000002852056665
Ålesund,3.79999992730166
Flatanger,3.800000321363779
Frosta,3.7999994660509886
Frøya,3.8000006564074713
Grong,3.7999999578936756
Heim,3.7999999916243556
Hitra,3.799999791894426
Holtålen,3.800000097288232
Høylandet,3.7999999359342
Inderøy,3.799999661092148
Indre Fosen,3.799999824065953
Klæbu,3.799999589711869
Leka,3.799999835900369
Levanger,3.799999900443774
Lierne,3.7999998505575676
Malvik,3.7999994891682385
Orkland,3.800000516627047
Meråker,3.7999996072818147
Midtre Gauldal,3.8000000037825323
Namsos,3.7999999130204283
Namsskogan,3.8000000554777147
Oppdal,3.800000203887058
Selbu,3.8000004681965818
Trondheim,3.798937417407869
Tydal,3.8000001581379674
Verdal,3.7999993961317786
Ørland,3.799999848056083
Stjørdal,3.8000004118775847
Osen,3.7999994023011916
Skaun,3.7999995335737013
Melhus,3.800000757976015
Nærøysund,3.799999775851312
Steinkjer,3.800000039112786
Åfjord,3.8000004712023854
Rennebu,3.799999977931701
Overhalla,3.8000002231437207
Røros,3.796840474226598
Røyrvik,3.7999999283221277
Snåsa,3.7999999686479344
Alstahaug,3.7999995886533915
Andøy,3.8000001339701672
Ballangen,3.800000074009228
Beiarn,3.7999999898066505
Bindal,3.8000003276837973
Bodø,3.800000286806445
Brønnøy,3.79999976271328
Bø Vesterålen,3.79999988448941
Dønna,3.7999998375384134
Evenes,3.8000000043902538
Fauske,3.8000004104206453
Flakstad,3.8000002361743594
Gildeskål,3.800000206691752
Grane,3.8000002244439934
Hadsel,3.7999999484523337
Hamarøy,3.7999998447919645
Hattfjelldal,3.8000000616093703
