municipality,var
Oslo,2.782482680664838
Aremark,2.8638004808757835
Fredrikstad,2.2184521191122126
Halden,1.5953097097323274
Hvaler,2.0593576480808706
Marker,3.6162087976982784
Moss,3.176853606628502
Rakkestad,3.321640471781838
Råde,2.927454269628565
Sarpsborg,2.3134727679068603
Skiptvet,3.453982302849807
Våler Østfold,3.6813914545869384
Indre Østfold,3.5651018825404126
Bærum,4.280381030824562
Gjerdrum,6.4844668615333285
Hurdal,7.093029386241196
Lørenskog,4.828194849560857
Nannestad,5.930390638004107
Nes Akershus,3.146315137390129
Nesodden,3.286584637903501
Rælingen,5.097472704317865
Ullensaker,5.881875735263677
Vestby,2.9757584368416032
Ås,3.368075618079895
Enebakk,3.9920622931348926
Aurskog-Høland,3.1514728125044136
Lillestrøm,5.218427953021375
Nittedal,7.130882578257736
Nordre Follo,3.7407820167544052
Eidsvoll,4.15026364926832
Asker,6.5022235724380195
Frogn,5.347133030415165
Alvdal,3.333531057824823
Eidskog,3.9743689439666467
Elverum,5.237473374867923
Engerdal,4.872820943776851
Folldal,2.617279344121646
Grue,2.7519067616360244
Hamar,3.2271703754454197
Kongsvinger,3.1781169277112666
Løten,2.787440853801818
Nord-Odal,3.71653914371149
Os Innlandet,4.48340947622079
Bjørnafjorden,2.580176976278972
Rendalen,3.675003690778999
Ringsaker,5.402336029896011
Stange,3.237456635057471
Stor-Elvdal,4.594537295450518
Sør-Odal,2.624571167615508
Tolga,3.4769400110043636
Trysil,5.19722825891843
Tynset,4.000914711540844
Våler Innlandet,5.455534703446546
Åmot,6.340024609939864
Åsnes,3.109238209153304
Dovre,4.185116747881011
Etnedal,5.293767834443865
Gausdal,5.850631961936142
Gjøvik,5.702762566218616
Gran,6.554931925019976
Jevnaker,5.235747441183184
Lesja,8.358909328358925
Lillehammer,5.277432140383943
Lom,5.4345154093079655
Lunner,7.044341206772415
Nord-Aurdal,4.414122542940464
Nord-Fron,3.590401300656039
Nordre Land,3.9250691497193406
Ringebu,3.7147635300404613
Sel,3.1866974036033757
Skjåk,6.6439024103684
Søndre Land,4.904520679690555
Sør-Aurdal,5.673453834280684
Sør-Fron,4.326704508025388
Vang,8.535270607983897
Vestre Slidre,4.966217308185009
Vestre Toten,7.441884212435572
Vågå,5.431520651386813
Østre Toten,7.0199910673921515
Øyer,5.425301170055437
Øystre Slidre,6.195534060407833
Drammen,5.241985928910839
Flesberg,6.708199707404597
Flå,4.817078210538021
Gol,4.985537954696255
Hemsedal,7.927713504062656
Hol,6.629818704283602
Hole,7.851938708809207
Kongsberg,5.444948060397397
Krødsherad,6.245013833816446
Lier,5.601363231022078
Modum,4.0988191269036385
Nes Buskerud,4.351045491965026
Nore og Uvdal,5.836244401618695
Ringerike,3.331127232933614
Rollag,6.628327218995723
Sigdal,7.54714495774015
Øvre Eiker,4.026858136879913
Ål,5.498464197550064
Nesbyen,4.351045491965026
Færder,4.093034561030417
Holmestrand,6.204042706346729
Horten,4.691847998644825
Larvik,5.2441828843546565
Sandefjord,3.845367086339699
Tønsberg,4.4281691028332855
Bamble,4.36404929527635
Drangedal,5.911871464556076
Fyresdal,5.610659763643957
Hjartdal,5.319795584209472
Kragerø,6.09700864034851
Kviteseid,4.369525823116081
Nissedal,5.844645445502046
Nome,3.890337273726012
Notodden,3.60813812704059
Porsgrunn,3.998100459478707
Seljord,5.699365349375331
Siljan,6.025147022680329
Skien,3.966684214484132
Tinn,6.432142836093778
Tokke,4.771106795980021
Vinje,7.319941124664283
Midt-Telemark,5.479070484030093
Arendal,4.6673909929393105
Birkenes,5.011344875980793
Bygland,5.17405014601534
Bykle,13.726025628016354
Evje og Hornnes,4.727127231971359
Froland,7.007388583276469
Gjerstad,6.683323634911704
Grimstad,4.910281702894522
Iveland,8.763771252299735
Lillesand,4.078328731099325
Risør,5.710961247641324
Tvedestrand,6.377469449546403
Valle,6.36233315847248
Vegårshei,8.770200643647437
Åmli,5.558718148698605
Farsund,1.9081677763044935
Flekkefjord,2.7862431089406337
Hægebostad,4.881171634709544
Kristiansand,3.675858950769633
Kvinesdal,2.5077735575125035
Lindesnes,4.234391872262787
Lyngdal,2.718875651344677
Sirdal,2.9201044959056173
Vennesla,5.721332245047237
Åseral,8.514490930238088
Bjerkreim,1.3958514163560498
Bokn,1.625520471895983
Eigersund,2.1553877932706476
Gjesdal,2.213114975387847
Haugesund,1.72558614649571
Hjelmeland,2.0578572303582607
Hå,1.8709210752056753
Karmøy,1.7840239689475996
Klepp,1.3594002153419373
Kvitsøy,1.362860076869565
Lund,2.9303360360638377
Randaberg,1.379329088349613
Sandnes,1.2088540403652521
Sauda,4.103329160012219
Sokndal,2.8043700875792514
Sola,1.1838890820636057
Stavanger,1.3774367820369138
Strand,1.6221158839697447
Suldal,4.313687240977087
Time,1.3518644864510365
Tysvær,1.6137472861431355
Vindafjord,2.1862659461979943
Askøy,1.3206699134662832
Austevoll,1.4450245618042066
Austrheim,2.2823851630639758
Bergen,2.4369038017502294
Bømlo,1.877568574700547
Eidfjord,2.395910617903747
Etne,2.2418082324266546
Fedje,2.369536432682655
Fitjar,2.108540793653345
Fusa,3.2449927853433644
Jondal,5.078501602785426
Kvam,5.094135274549305
Kvinnherad,2.3720360457372798
Lindås,5.2357441350500125
Masfjorden,4.113483093185433
Meland,1.5395014354077938
Modalen,3.7700344045695253
Odda,2.8566549055111947
Os Vestland,2.580176976278972
Osterøy,2.8235725041230055
Voss,5.226506367466734
Øygarden,1.7604927655871598
Ullensvang,2.8566549055111947
Alver,1.731839608686646
Vaksdal,8.696928570703836
Samnanger,4.20731632887121
Ulvik,2.991806382360596
Sveio,1.6289725759379252
Stord,2.3318503332761504
Tysnes,2.5286411213179876
Askvoll,2.742562215417599
Aurland,2.1509298873412783
Bremanger,5.790931212803882
Stad,5.002108220326636
Fjaler,4.5165630572393285
Kinn,4.027810692119684
Førde,4.092121883991414
Gloppen,5.950544466059063
Gulen,4.331192714225663
Hornindal,4.389539740341364
Hyllestad,3.2387998641283025
Høyanger,4.559455396135169
Jølster,16.753240630679464
Leikanger,4.322717788208437
Luster,6.58939183416263
Lærdal,2.91433358002354
Naustdal,3.1383579002933795
Sogndal,4.0077576846197225
Solund,4.325446471840497
Stryn,3.9732074161475883
Vik,6.46524771499093
Årdal,5.954852398974283
Sunnfjord,4.092121883991414
Aukra,4.108951510419546
Aure,6.602062384078761
Averøy,4.279607056581448
Hustadvika,4.242614982057063
Fræna,4.242614982057063
Giske,4.412784086248858
Gjemnes,5.934684535390647
Halsa,7.068522631210868
Haram,4.7144205756393305
Hareid,4.701968127743878
Herøy Møre og Romsdal,3.466844386242342
Kristiansund,4.5023174340550645
Midsund,3.8971810050601157
Molde,4.912848364236255
Nesset,7.597945034995974
Norddal,6.013306691791152
Rauma,4.95440200071832
Rindal,6.605132495825226
Sande,3.8598529367336156
Skodje,5.357591923248407
Smøla,3.651091483993699
Stordal,5.974222712864142
Stranda,5.033060415836713
Sula,6.143708561919433
Sunndal,6.272375152454883
Surnadal,5.694364738285785
Sykkylven,8.497081323406423
Tingvoll,5.229660313975611
Ulstein,5.2043096360469665
Vanylven,4.553774531255334
Vestnes,4.229985922079115
Volda,4.998927915639729
Ørskog,4.430217903067483
Fjord,6.013306691791152
Ørsta,6.006058851491695
Ålesund,4.821246613504651
Flatanger,4.6497038763360985
Frosta,4.821699195394632
Frøya,3.740747643978221
Grong,8.713126446583027
Heim,5.7699570607186
Hitra,4.3846057394291496
Holtålen,8.912034201712071
Høylandet,9.051168143028224
Inderøy,5.57969343255835
Indre Fosen,5.179941601670575
Klæbu,5.851102931464357
Leka,4.724145436234856
Levanger,5.198932164476861
Lierne,9.319121748776311
Malvik,3.361029374841378
Orkland,4.961047161180497
Meråker,7.060801205300478
Midtre Gauldal,3.9607082041470663
Namsos,8.036431693564419
Namsskogan,9.852659208933092
Oppdal,9.486274817898277
Selbu,5.5279255680768005
Trondheim,5.099996232419626
Tydal,7.867425779211164
Verdal,4.251467327376143
Ørland,4.545000722086928
Stjørdal,3.6775349984300196
Osen,6.941820554817534
Skaun,4.271149310784176
Melhus,4.1265164930242975
Nærøysund,9.421131585563165
Steinkjer,5.049194989194419
Åfjord,4.286188706972767
Rennebu,9.093812509899621
Overhalla,9.23640019335755
Røros,5.099996232419626
Røyrvik,16.464862905183097
Snåsa,6.96809733875446
Alstahaug,3.99246873926536
Andøy,9.397573041649949
Ballangen,5.964323622391601
Beiarn,8.639425620315922
Bindal,7.140418811972268
Bodø,5.157377414235466
Brønnøy,6.8250413488301085
Bø Vesterålen,7.12756536106081
Dønna,5.198378275462903
Evenes,15.277553618886028
Fauske,6.3107790872438
Flakstad,9.64236036463091
Gildeskål,5.464833940093508
Grane,9.135928414304106
Hadsel,8.078190755906954
Hamarøy,6.998177912000422
Hattfjelldal,13.182295648402981
Hemnes,8.219612121877669
Herøy Nordland,4.268905541255007
Leirfjord,9.661441006648438
Lurøy,4.3141168921768625
Lødingen,7.438062906981394
Meløy,6.352859214665135
Moskenes,10.437530622882814
Narvik,10.35912654950372
Nesna,7.4866743836592216
Rana,9.441075203333536
Rødøy,3.7195060039857535
Saltdal,6.326013232391508
Sortland,9.107486476709095
Steigen,6.510840410963848
Sømna,5.228731471699876
Sørfold,6.1795472284976105
Tjeldsund,7.623833144560534
Tysfjord,6.150342474530254
Vefsn,8.418045646307231
Vega,6.524227643807247
Vestvågøy,8.543678819719583
Vevelstad,10.219930075174005
Værøy,5.826903676405261
Vågan,7.218424583379842
Øksnes,9.745513260996299
Balsfjord,7.833405022420577
Bardu,9.511230713751726
Dyrøy,14.39682591929359
Kåfjord,15.270051723452466
Gratangen,8.803837744329089
Harstad,9.27470284632008
Ibestad,8.947805488120018
Karlsøy,11.374055329270517
Kvæfjord,11.405382594726843
Kvænangen,8.440091566174454
Lavangen,10.099996306581609
Lenvik,10.516333457722826
Lyngen,13.75881759634965
Målselv,8.850536957353272
Nordreisa,11.422730100336535
Salangen,8.941734120259053
Skjervøy,13.966658199402701
Storfjord,7.406464692817362
Sørreisa,9.2129170714271
Senja,10.516333457722826
Tranøy,11.297476978747463
Tromsø,13.202937228895694
Alta,6.317449176890326
Berlevåg,9.60344298825113
Båtsfjord,9.202979600835157
Deatnu,4.15634462348319
Gamvik,9.037218753708594
Kautokeino,3.6565964228028154
Hammerfest,14.156923769253721
Hasvik,20.0474105489354
Karasjok,3.44402861765091
Kvalsund,2.987969267678536
Lebesby,11.079277834377894
Loppa,13.413095657368006
Måsøy,13.00440383659584
Nordkapp,12.96916000926069
Porsanger,5.5522166355500895
Sør-Varanger,4.196646733177495
Nesseby,3.829453015153473
Vadsø,5.791967819653782
