municipality,var
Oslo,"[(59.91379351611024, 10.733224168434594)]"
Aremark,"[(59.2225152472924, 11.696814996148504)]"
Fredrikstad,"[(59.21018686614438, 10.944222917983124)]"
Halden,"[(59.124507098971925, 11.391553914587613)]"
Hvaler,"[(59.02421443919738, 11.03592391955614)]"
Marker,"[(59.482053205518405, 11.653813877660168)]"
Moss,"[(59.43455661069332, 10.652591123337444)]"
Rakkestad,"[(59.4287327282093, 11.341541229661338)]"
Råde,"[(59.35185259400713, 10.874491126167525)]"
Sarpsborg,"[(59.27824363974569, 11.11179752994001)]"
Skiptvet,"[(59.46899706099199, 11.178203531299962)]"
Våler Østfold,"[(59.428427561964895, 11.023980148414537)]"
Indre Østfold,"[(59.58547531071077, 11.16497961429425)]"
Bærum,"[(59.88877950612643, 10.521705698603535)]"
Gjerdrum,"[(60.06713449539876, 11.03719078294868)]"
Hurdal,"[(60.43654322621847, 11.064995288412083)]"
Lørenskog,"[(59.93006187304788, 10.964013948681782)]"
Nannestad,"[(60.209912432426485, 11.001889455498404)]"
Nes Akershus,"[(60.12415218743896, 11.462695694075292)]"
Nesodden,"[(59.85773964632092, 10.668909446245257)]"
Rælingen,"[(59.92434183134314, 11.07216395183785)]"
Ullensaker,"[(60.14303198121645, 11.172267548819379)]"
Vestby,"[(59.59979888611818, 10.755409596524421)]"
Ås,"[(59.66362907351744, 10.782875455874253)]"
Enebakk,"[(59.76466500649466, 11.144424495368574)]"
Aurskog-Høland,"[(59.884054584480076, 11.559799471345642)]"
Lillestrøm,"[(59.95964045822497, 11.050053006178228)]"
Nittedal,"[(60.04428449705866, 10.87816026965592)]"
Nordre Follo,"[(59.71962647622388, 10.847024097562983)]"
Eidsvoll,"[(60.32530552438057, 11.259679751401443)]"
Asker,"[(59.84096209725022, 10.43879015593409)]"
Frogn,"[(59.66794716231241, 10.640130815181822)]"
Alvdal,"[(62.10469237463521, 10.639182675443788)]"
Eidskog,"[(59.987414683483706, 12.122993511444056)]"
Elverum,"[(60.88170889885146, 11.563460574228708)]"
Engerdal,"[(61.75374076806712, 11.95941374900758)]"
Folldal,"[(62.12944193688398, 10.04012333607858)]"
Grue,"[(60.4533246130384, 12.063660996880136)]"
Hamar,"[(60.79644393305949, 11.076037923511862)]"
Kongsvinger,"[(60.19126779118026, 11.996891987162803)]"
Løten,"[(60.83008340016434, 11.311271979361203)]"
Nord-Odal,"[(60.42508419963809, 11.629986991680369)]"
Os Innlandet,"[(62.499353972819215, 11.223052926909196)]"
Bjørnafjorden,"[(60.187480039131756, 5.46657018069804)]"
Rendalen,"[(61.892896695793134, 11.06952110203333)]"
Ringsaker,"[(60.79821541726404, 10.836663252929897)]"
Stange,"[(60.718991289333275, 11.195595922124602)]"
Stor-Elvdal,"[(61.52353825530045, 11.041023148365678)]"
Sør-Odal,"[(60.25568750473807, 11.683596562993493)]"
Tolga,"[(62.4122806847202, 11.0014858171393)]"
Trysil,"[(61.31101750206408, 12.263995876346494)]"
Tynset,"[(62.27056989459265, 10.769526298828445)]"
Våler Innlandet,"[(60.87944956062746, 12.245746491504445)]"
Åmot,"[(61.12825640623445, 11.369435984524138)]"
Åsnes,"[(60.613914423972815, 12.012508124959599)]"
Dovre,"[(61.981408545384554, 9.241770128163122)]"
Etnedal,"[(60.92653839125174, 9.637141075000402)]"
Gausdal,"[(61.26118280965752, 10.159199969674994)]"
Gjøvik,"[(60.793583738835146, 10.690094011082797)]"
Gran,"[(60.39371722668837, 10.56143447395135)]"
