municipality,var
Oslo,"[8.90000057220459, 11.600000381469727, 60.900001525878906, 137.3000030517578, 17.399999618530273, 19.100000381469727, 26.399999618530273, 15.199999809265137, 32.29999923706055, 32.20000076293945, 17.600000381469727, 23.0, 24.100000381469727, 48.400001525878906, 9.0, 102.0999984741211, 19.0, 15.199999809265137, 58.70000076293945, 74.20000457763672, 84.0, 25.0, 27.600000381469727, 8.600000381469727, 23.200000762939453, 9.90000057220459, 16.0, 49.60000228881836, 24.700000762939453, 6.900000095367432, 14.800000190734863, 12.90000057220459, 27.899999618530273]"
Aremark,"[27.899999618530273, 13.40000057220459, 47.79999923706055, 137.40000915527344, 46.60000228881836, 32.900001525878906, 25.399999618530273, 31.0, 52.70000076293945, 16.399999618530273, 26.0, 78.20000457763672, 80.20000457763672, 45.70000076293945, 28.5, 116.4000015258789, 17.600000381469727, 22.200000762939453, 51.10000228881836, 96.20000457763672, 95.9000015258789, 55.79999923706055, 50.70000076293945, 48.0, 34.60000228881836, 34.70000076293945, 26.5, 89.5999984741211, 70.30000305175781, 17.700000762939453, 20.80000114440918, 22.100000381469727, 48.5]"
Fredrikstad,"[18.0, 5.800000190734863, 31.200000762939453, 135.5, 11.600000381469727, 19.30000114440918, 19.30000114440918, 11.0, 20.0, 12.0, 23.30000114440918, 57.29999923706055, 62.79999923706055, 24.30000114440918, 6.099999904632568, 109.0999984741211, 8.40000057220459, 8.100000381469727, 31.700000762939453, 23.899999618530273, 38.70000076293945, 21.5, 11.300000190734863, 14.5, 8.800000190734863, 11.40000057220459, 23.30000114440918, 21.30000114440918, 31.30000114440918, 2.0, 15.5, 28.899999618530273, 21.600000381469727]"
Halden,"[12.90000057220459, 3.6000001430511475, 33.0, 66.5, 17.700000762939453, 14.100000381469727, 26.80000114440918, 18.899999618530273, 21.80000114440918, 18.80000114440918, 24.600000381469727, 23.899999618530273, 22.0, 36.10000228881836, 17.600000381469727, 69.9000015258789, 12.5, 13.0, 35.60000228881836, 60.60000228881836, 62.70000076293945, 32.0, 11.699999809265137, 21.600000381469727, 15.300000190734863, 15.199999809265137, 21.0, 33.20000076293945, 28.600000381469727, 6.0, 12.699999809265137, 22.200000762939453, 39.20000076293945]"
Hvaler,"[9.600000381469727, 9.600000381469727, 28.200000762939453, 66.30000305175781, 31.0, 17.899999618530273, 40.900001525878906, 15.40000057220459, 20.899999618530273, 13.199999809265137, 20.399999618530273, 38.20000076293945, 55.900001525878906, 43.20000076293945, 14.800000190734863, 88.0999984741211, 10.199999809265137, 13.699999809265137, 60.0, 54.79999923706055, 81.5999984741211, 35.10000228881836, 24.600000381469727, 29.899999618530273, 11.699999809265137, 25.899999618530273, 9.800000190734863, 19.399999618530273, 36.400001525878906, 3.9000000953674316, 17.200000762939453, 19.700000762939453, 29.30000114440918]"
Marker,"[26.899999618530273, 13.90000057220459, 60.20000076293945, 183.6999969482422, 97.70000457763672, 55.20000076293945, 42.29999923706055, 26.80000114440918, 95.9000015258789, 28.700000762939453, 46.60000228881836, 113.5999984741211, 115.5, 133.90000915527344, 22.30000114440918, 231.10000610351562, 59.0, 36.400001525878906, 114.30000305175781, 84.4000015258789, 135.90000915527344, 37.20000076293945, 37.60000228881836, 35.60000228881836, 40.10000228881836, 29.30000114440918, 28.399999618530273, 123.0999984741211, 83.4000015258789, 20.0, 31.30000114440918, 18.0, 45.5]"
Moss,"[31.600000381469727, 8.800000190734863, 52.0, 188.90000915527344, 19.100000381469727, 39.29999923706055, 45.79999923706055, 42.60000228881836, 48.60000228881836, 59.60000228881836, 61.0, 156.90000915527344, 161.90000915527344, 61.79999923706055, 19.399999618530273, 137.6999969482422, 33.79999923706055, 22.600000381469727, 88.5, 95.5999984741211, 107.5999984741211, 42.70000076293945, 51.60000228881836, 42.70000076293945, 26.899999618530273, 35.5, 22.80000114440918, 72.9000015258789, 66.5999984741211, 5.800000190734863, 19.0, 63.900001525878906, 82.30000305175781]"
Rakkestad,"[29.399999618530273, 11.800000190734863, 62.10000228881836, 187.5, 78.4000015258789, 37.10000228881836, 49.70000076293945, 28.700000762939453, 79.9000015258789, 37.900001525878906, 46.29999923706055, 114.30000305175781, 126.5, 95.5, 16.899999618530273, 186.6999969482422, 30.399999618530273, 17.899999618530273, 74.4000015258789, 60.5, 48.0, 22.700000762939453, 11.800000190734863, 18.700000762939453, 16.899999618530273, 27.399999618530273, 20.899999618530273, 101.80000305175781, 52.400001525878906, 11.40000057220459, 16.899999618530273, 17.700000762939453, 33.400001525878906]"
Råde,"[29.200000762939453, 13.800000190734863, 58.400001525878906, 193.10000610351562, 33.900001525878906, 28.5, 35.79999923706055, 16.80000114440918, 25.80000114440918, 36.29999923706055, 27.700000762939453, 78.20000457763672, 79.30000305175781, 86.30000305175781, 18.899999618530273, 148.60000610351562, 31.700000762939453, 13.300000190734863, 68.5999984741211, 86.0999984741211, 92.0999984741211, 32.900001525878906, 28.700000762939453, 39.5, 13.199999809265137, 22.0, 20.700000762939453, 62.20000076293945, 54.20000076293945, 4.300000190734863, 15.90000057220459, 31.399999618530273, 21.5]"
Sarpsborg,"[18.899999618530273, 6.900000095367432, 35.5, 139.5, 12.100000381469727, 24.700000762939453, 26.600000381469727, 25.899999618530273, 36.400001525878906, 19.5, 34.10000228881836, 79.70000457763672, 81.80000305175781, 79.70000457763672, 17.0, 139.0, 20.200000762939453, 7.900000095367432, 53.5, 46.0, 96.70000457763672, 35.10000228881836, 36.10000228881836, 30.200000762939453, 16.399999618530273, 26.100000381469727, 27.399999618530273, 50.20000076293945, 38.0, 5.400000095367432, 13.90000057220459, 29.200000762939453, 23.5]"
Skiptvet,"[27.80000114440918, 11.40000057220459, 66.20000457763672, 212.3000030517578, 93.30000305175781, 36.29999923706055, 50.0, 33.70000076293945, 90.5999984741211, 33.79999923706055, 42.5, 117.4000015258789, 152.10000610351562, 112.0, 18.600000381469727, 176.10000610351562, 26.80000114440918, 18.100000381469727, 81.20000457763672, 55.5, 80.0, 33.70000076293945, 25.200000762939453, 56.70000076293945, 28.80000114440918, 38.70000076293945, 23.600000381469727, 109.30000305175781, 42.5, 10.5, 16.399999618530273, 22.700000762939453, 28.600000381469727]"
Våler Østfold,"[27.200000762939453, 12.0, 68.80000305175781, 202.10000610351562, 87.0, 35.0, 43.0, 31.899999618530273, 82.0, 37.10000228881836, 49.29999923706055, 126.0, 177.5, 120.9000015258789, 24.30000114440918, 181.10000610351562, 36.79999923706055, 17.30000114440918, 93.20000457763672, 119.20000457763672, 139.0, 48.20000076293945, 74.70000457763672, 47.79999923706055, 25.80000114440918, 38.10000228881836, 24.700000762939453, 131.90000915527344, 45.60000228881836, 2.6000001430511475, 16.100000381469727, 28.700000762939453, 26.600000381469727]"
Indre Østfold,"[33.0, 12.199999809265137, 71.5, 203.60000610351562, 74.30000305175781, 54.79999923706055, 46.0, 30.80000114440918, 90.5999984741211, 44.20000076293945, 34.10000228881836, 81.5999984741211, 81.80000305175781, 89.30000305175781, 13.699999809265137, 158.40000915527344, 31.700000762939453, 14.90000057220459, 79.30000305175781, 40.60000228881836, 81.30000305175781, 33.79999923706055, 13.90000057220459, 72.80000305175781, 37.60000228881836, 45.60000228881836, 25.5, 113.0, 58.70000076293945, 12.90000057220459, 23.80000114440918, 46.20000076293945, 60.60000228881836]"
Bærum,"[77.5, 34.400001525878906, 111.30000305175781, 264.5, 74.4000015258789, 52.70000076293945, 63.20000076293945, 34.70000076293945, 89.9000015258789, 45.400001525878906, 38.60000228881836, 105.5, 125.5, 98.5, 12.40000057220459, 107.80000305175781, 61.29999923706055, 34.5, 116.5, 45.60000228881836, 97.0999984741211, 19.30000114440918, 8.600000381469727, 10.5, 25.30000114440918, 27.80000114440918, 22.5, 101.5999984741211, 63.10000228881836, 14.199999809265137, 31.600000381469727, 43.900001525878906, 92.30000305175781]"
Gjerdrum,"[107.70000457763672, 54.60000228881836, 121.20000457763672, 304.3000183105469, 260.0, 97.0999984741211, 58.5, 42.0, 279.6000061035156, 55.20000076293945, 107.5, 107.30000305175781, 149.8000030517578, 157.6999969482422, 41.29999923706055, 151.6999969482422, 57.900001525878906, 40.60000228881836, 153.0, 69.0, 102.5, 50.400001525878906, 49.900001525878906, 47.20000076293945, 27.5, 32.5, 58.900001525878906, 239.6999969482422, 158.40000915527344, 48.0, 51.10000228881836, 88.0, 178.1999969482422]"
Hurdal,"[179.3000030517578, 86.80000305175781, 133.5, 311.70001220703125, 296.3000183105469, 102.30000305175781, 72.5, 91.0999984741211, 227.1999969482422, 72.20000457763672, 119.5, 96.70000457763672, 196.1999969482422, 190.8000030517578, 48.0, 356.3999938964844, 157.5, 157.90000915527344, 238.5, 191.5, 278.3999938964844, 118.0999984741211, 139.0, 93.70000457763672, 118.0999984741211, 79.4000015258789, 90.9000015258789, 258.5, 179.1999969482422, 52.10000228881836, 194.5, 137.90000915527344, 276.8999938964844]"
Lørenskog,"[117.20000457763672, 42.60000228881836, 116.5, 260.1000061035156, 197.5, 78.9000015258789, 44.60000228881836, 30.80000114440918, 186.0, 45.29999923706055, 58.900001525878906, 84.9000015258789, 110.0999984741211, 61.79999923706055, 23.899999618530273, 105.30000305175781, 40.79999923706055, 34.0, 119.80000305175781, 63.5, 90.0999984741211, 22.5, 9.0, 20.100000381469727, 32.0, 45.0, 26.600000381469727, 156.90000915527344, 72.0, 20.5, 25.30000114440918, 50.29999923706055, 90.20000457763672]"
Nannestad,"[157.0, 109.4000015258789, 134.1999969482422, 342.0, 264.8000183105469, 100.30000305175781, 45.20000076293945, 49.60000228881836, 252.10000610351562, 54.400001525878906, 102.30000305175781, 116.0999984741211, 151.3000030517578, 178.10000610351562, 59.20000076293945, 181.0, 95.70000457763672, 81.5, 166.3000030517578, 68.5, 138.8000030517578, 79.4000015258789, 124.70000457763672, 117.9000015258789, 84.80000305175781, 71.0999984741211, 92.70000457763672, 282.8999938964844, 131.10000610351562, 54.900001525878906, 131.6999969482422, 81.70000457763672, 226.1999969482422]"
Nes Akershus,"[43.70000076293945, 19.30000114440918, 76.0, 184.5, 85.0999984741211, 39.20000076293945, 28.399999618530273, 25.700000762939453, 130.10000610351562, 54.29999923706055, 39.29999923706055, 77.20000457763672, 79.9000015258789, 87.30000305175781, 30.600000381469727, 83.20000457763672, 41.900001525878906, 21.700000762939453, 70.5, 74.30000305175781, 110.0, 34.20000076293945, 41.60000228881836, 28.200000762939453, 40.0, 30.30000114440918, 26.399999618530273, 103.70000457763672, 63.20000076293945, 10.40000057220459, 19.0, 56.29999923706055, 72.20000457763672]"
Nesodden,"[44.20000076293945, 25.0, 72.0, 181.5, 30.100000381469727, 41.60000228881836, 51.10000228881836, 21.899999618530273, 91.0999984741211, 45.29999923706055, 25.100000381469727, 78.0999984741211, 83.9000015258789, 103.0, 12.100000381469727, 108.4000015258789, 43.5, 24.30000114440918, 109.80000305175781, 58.20000076293945, 109.4000015258789, 33.20000076293945, 36.5, 13.800000190734863, 21.0, 13.800000190734863, 20.30000114440918, 59.29999923706055, 49.5, 10.800000190734863, 20.700000762939453, 27.5, 44.400001525878906]"
Rælingen,"[118.0999984741211, 59.900001525878906, 123.5, 285.0, 222.3000030517578, 88.9000015258789, 53.29999923706055, 33.20000076293945, 203.3000030517578, 55.900001525878906, 84.80000305175781, 107.70000457763672, 136.90000915527344, 80.70000457763672, 26.80000114440918, 109.4000015258789, 44.29999923706055, 29.700000762939453, 122.4000015258789, 62.10000228881836, 88.80000305175781, 22.30000114440918, 8.699999809265137, 24.200000762939453, 39.400001525878906, 47.79999923706055, 44.29999923706055, 243.0, 121.0, 36.5, 46.5, 57.79999923706055, 99.0999984741211]"
Ullensaker,"[131.1999969482422, 75.9000015258789, 121.70000457763672, 319.3000183105469, 279.20001220703125, 92.0, 71.4000015258789, 45.900001525878906, 275.8000183105469, 60.79999923706055, 104.5999984741211, 105.80000305175781, 133.1999969482422, 155.3000030517578, 41.79999923706055, 146.90000915527344, 69.5999984741211, 52.0, 143.10000610351562, 57.10000228881836, 83.4000015258789, 55.400001525878906, 83.0, 62.29999923706055, 81.5999984741211, 37.5, 68.30000305175781, 229.60000610351562, 137.60000610351562, 53.20000076293945, 82.20000457763672, 80.80000305175781, 154.90000915527344]"
Vestby,"[31.600000381469727, 27.700000762939453, 94.9000015258789, 228.90000915527344, 45.400001525878906, 43.10000228881836, 57.29999923706055, 26.399999618530273, 71.30000305175781, 60.0, 62.5, 125.5999984741211, 126.30000305175781, 111.0, 24.600000381469727, 143.40000915527344, 35.20000076293945, 23.0, 117.5, 102.0999984741211, 115.5999984741211, 27.399999618530273, 31.5, 37.29999923706055, 26.200000762939453, 36.10000228881836, 24.600000381469727, 116.5, 104.5, 13.100000381469727, 21.399999618530273, 68.30000305175781, 92.30000305175781]"
Ås,"[42.79999923706055, 37.5, 119.30000305175781, 280.3000183105469, 103.30000305175781, 65.0999984741211, 59.29999923706055, 31.5, 81.30000305175781, 70.30000305175781, 83.30000305175781, 125.4000015258789, 126.5999984741211, 148.10000610351562, 46.5, 142.5, 43.60000228881836, 26.899999618530273, 110.80000305175781, 100.4000015258789, 120.70000457763672, 24.30000114440918, 27.700000762939453, 28.200000762939453, 28.30000114440918, 35.400001525878906, 23.600000381469727, 114.0, 87.9000015258789, 12.300000190734863, 21.80000114440918, 65.4000015258789, 90.80000305175781]"
