municipality,var
Oslo,"[39.5, 48.60000228881836, 95.5999984741211, 60.5, 19.80000114440918, 68.9000015258789, 192.90000915527344, 118.9000015258789, 179.90000915527344, 105.80000305175781, 90.70000457763672, 30.700000762939453, 71.20000457763672, 84.80000305175781, 101.4000015258789, 19.399999618530273, 49.70000076293945, 87.70000457763672, 114.0999984741211, 61.79999923706055, 74.0999984741211, 64.20000457763672, 110.0999984741211, 40.400001525878906, 20.100000381469727, 108.0999984741211, 99.0999984741211, 119.0, 42.10000228881836, 16.100000381469727, 12.300000190734863, 8.90000057220459, 11.600000381469727, 60.900001525878906, 137.3000030517578, 17.399999618530273, 19.100000381469727, 26.399999618530273, 15.199999809265137, 32.29999923706055, 32.20000076293945, 17.600000381469727, 23.0, 24.100000381469727, 48.400001525878906, 9.0, 102.0999984741211, 19.0, 15.199999809265137, 58.70000076293945, 74.20000457763672, 84.0, 25.0, 27.600000381469727, 8.600000381469727, 23.200000762939453, 9.90000057220459, 16.0, 49.60000228881836, 24.700000762939453, 6.900000095367432, 14.800000190734863, 12.90000057220459, 27.899999618530273]"
Aremark,"[77.20000457763672, 29.600000381469727, 65.5, 80.0, 25.600000381469727, 83.5999984741211, 208.3000030517578, 144.10000610351562, 109.5999984741211, 154.3000030517578, 113.70000457763672, 23.600000381469727, 94.0999984741211, 79.30000305175781, 72.20000457763672, 47.70000076293945, 21.100000381469727, 141.90000915527344, 92.4000015258789, 83.5, 92.0999984741211, 54.900001525878906, 78.4000015258789, 37.10000228881836, 48.400001525878906, 129.40000915527344, 113.80000305175781, 137.6999969482422, 81.20000457763672, 38.29999923706055, 18.200000762939453, 27.899999618530273, 13.40000057220459, 47.79999923706055, 137.40000915527344, 46.60000228881836, 32.900001525878906, 25.399999618530273, 31.0, 52.70000076293945, 16.399999618530273, 26.0, 78.20000457763672, 80.20000457763672, 45.70000076293945, 28.5, 116.4000015258789, 17.600000381469727, 22.200000762939453, 51.10000228881836, 96.20000457763672, 95.9000015258789, 55.79999923706055, 50.70000076293945, 48.0, 34.60000228881836, 34.70000076293945, 26.5, 89.5999984741211, 70.30000305175781, 17.700000762939453, 20.80000114440918, 22.100000381469727, 48.5]"
Fredrikstad,"[110.70000457763672, 21.30000114440918, 69.0, 95.5999984741211, 22.399999618530273, 55.20000076293945, 159.8000030517578, 66.0999984741211, 81.9000015258789, 87.80000305175781, 71.4000015258789, 20.200000762939453, 57.5, 41.0, 22.399999618530273, 25.899999618530273, 21.5, 101.0, 35.29999923706055, 49.20000076293945, 90.70000457763672, 62.70000076293945, 56.60000228881836, 18.899999618530273, 15.0, 97.5999984741211, 80.30000305175781, 115.0999984741211, 28.0, 34.70000076293945, 23.200000762939453, 18.0, 5.800000190734863, 31.200000762939453, 135.5, 11.600000381469727, 19.30000114440918, 19.30000114440918, 11.0, 20.0, 12.0, 23.30000114440918, 57.29999923706055, 62.79999923706055, 24.30000114440918, 6.099999904632568, 109.0999984741211, 8.40000057220459, 8.100000381469727, 31.700000762939453, 23.899999618530273, 38.70000076293945, 21.5, 11.300000190734863, 14.5, 8.800000190734863, 11.40000057220459, 23.30000114440918, 21.30000114440918, 31.30000114440918, 2.0, 15.5, 28.899999618530273, 21.600000381469727]"
Halden,"[53.79999923706055, 20.700000762939453, 44.900001525878906, 37.0, 17.0, 42.60000228881836, 148.1999969482422, 49.0, 82.0999984741211, 40.400001525878906, 64.0, 22.200000762939453, 41.900001525878906, 39.10000228881836, 15.100000381469727, 20.100000381469727, 15.699999809265137, 65.5, 25.0, 36.70000076293945, 55.400001525878906, 57.60000228881836, 50.20000076293945, 25.200000762939453, 37.79999923706055, 86.4000015258789, 52.29999923706055, 77.70000457763672, 18.200000762939453, 35.0, 12.5, 12.90000057220459, 3.6000001430511475, 33.0, 66.5, 17.700000762939453, 14.100000381469727, 26.80000114440918, 18.899999618530273, 21.80000114440918, 18.80000114440918, 24.600000381469727, 23.899999618530273, 22.0, 36.10000228881836, 17.600000381469727, 69.9000015258789, 12.5, 13.0, 35.60000228881836, 60.60000228881836, 62.70000076293945, 32.0, 11.699999809265137, 21.600000381469727, 15.300000190734863, 15.199999809265137, 21.0, 33.20000076293945, 28.600000381469727, 6.0, 12.699999809265137, 22.200000762939453, 39.20000076293945]"
Hvaler,"[95.0999984741211, 21.899999618530273, 37.20000076293945, 52.5, 16.700000762939453, 57.10000228881836, 176.60000610351562, 65.5, 96.0, 61.70000076293945, 71.5, 22.399999618530273, 82.4000015258789, 40.0, 26.5, 20.200000762939453, 15.0, 105.70000457763672, 34.400001525878906, 46.10000228881836, 83.5, 64.5999984741211, 64.70000457763672, 20.0, 22.899999618530273, 104.5, 65.80000305175781, 90.70000457763672, 22.30000114440918, 32.70000076293945, 9.699999809265137, 9.600000381469727, 9.600000381469727, 28.200000762939453, 66.30000305175781, 31.0, 17.899999618530273, 40.900001525878906, 15.40000057220459, 20.899999618530273, 13.199999809265137, 20.399999618530273, 38.20000076293945, 55.900001525878906, 43.20000076293945, 14.800000190734863, 88.0999984741211, 10.199999809265137, 13.699999809265137, 60.0, 54.79999923706055, 81.5999984741211, 35.10000228881836, 24.600000381469727, 29.899999618530273, 11.699999809265137, 25.899999618530273, 9.800000190734863, 19.399999618530273, 36.400001525878906, 3.9000000953674316, 17.200000762939453, 19.700000762939453, 29.30000114440918]"
Marker,"[74.0, 41.0, 138.8000030517578, 86.5999984741211, 26.200000762939453, 84.5, 218.10000610351562, 179.90000915527344, 163.8000030517578, 179.60000610351562, 124.5999984741211, 51.60000228881836, 80.0999984741211, 86.9000015258789, 98.0, 64.0999984741211, 50.400001525878906, 119.5999984741211, 111.80000305175781, 80.5, 87.5999984741211, 75.80000305175781, 83.20000457763672, 33.10000228881836, 66.9000015258789, 150.90000915527344, 122.4000015258789, 166.6999969482422, 106.30000305175781, 42.0, 23.80000114440918, 26.899999618530273, 13.90000057220459, 60.20000076293945, 183.6999969482422, 97.70000457763672, 55.20000076293945, 42.29999923706055, 26.80000114440918, 95.9000015258789, 28.700000762939453, 46.60000228881836, 113.5999984741211, 115.5, 133.90000915527344, 22.30000114440918, 231.10000610351562, 59.0, 36.400001525878906, 114.30000305175781, 84.4000015258789, 135.90000915527344, 37.20000076293945, 37.60000228881836, 35.60000228881836, 40.10000228881836, 29.30000114440918, 28.399999618530273, 123.0999984741211, 83.4000015258789, 20.0, 31.30000114440918, 18.0, 45.5]"
Moss,"[91.0, 48.900001525878906, 66.4000015258789, 47.79999923706055, 10.90000057220459, 57.70000076293945, 162.60000610351562, 83.70000457763672, 138.8000030517578, 102.0999984741211, 98.0, 22.5, 72.30000305175781, 41.0, 26.399999618530273, 31.30000114440918, 32.60000228881836, 115.0999984741211, 105.4000015258789, 54.400001525878906, 101.9000015258789, 63.10000228881836, 116.20000457763672, 35.400001525878906, 31.700000762939453, 128.1999969482422, 176.90000915527344, 226.1999969482422, 100.30000305175781, 30.600000381469727, 31.399999618530273, 31.600000381469727, 8.800000190734863, 52.0, 188.90000915527344, 19.100000381469727, 39.29999923706055, 45.79999923706055, 42.60000228881836, 48.60000228881836, 59.60000228881836, 61.0, 156.90000915527344, 161.90000915527344, 61.79999923706055, 19.399999618530273, 137.6999969482422, 33.79999923706055, 22.600000381469727, 88.5, 95.5999984741211, 107.5999984741211, 42.70000076293945, 51.60000228881836, 42.70000076293945, 26.899999618530273, 35.5, 22.80000114440918, 72.9000015258789, 66.5999984741211, 5.800000190734863, 19.0, 63.900001525878906, 82.30000305175781]"
Rakkestad,"[45.0, 21.700000762939453, 42.20000076293945, 57.60000228881836, 19.0, 92.70000457763672, 220.10000610351562, 130.6999969482422, 140.10000610351562, 183.8000030517578, 133.3000030517578, 38.79999923706055, 86.4000015258789, 64.9000015258789, 60.79999923706055, 53.900001525878906, 26.600000381469727, 108.9000015258789, 88.20000457763672, 75.80000305175781, 88.5999984741211, 68.30000305175781, 109.80000305175781, 33.5, 77.9000015258789, 137.0, 135.8000030517578, 153.8000030517578, 98.70000457763672, 39.20000076293945, 25.700000762939453, 29.399999618530273, 11.800000190734863, 62.10000228881836, 187.5, 78.4000015258789, 37.10000228881836, 49.70000076293945, 28.700000762939453, 79.9000015258789, 37.900001525878906, 46.29999923706055, 114.30000305175781, 126.5, 95.5, 16.899999618530273, 186.6999969482422, 30.399999618530273, 17.899999618530273, 74.4000015258789, 60.5, 48.0, 22.700000762939453, 11.800000190734863, 18.700000762939453, 16.899999618530273, 27.399999618530273, 20.899999618530273, 101.80000305175781, 52.400001525878906, 11.40000057220459, 16.899999618530273, 17.700000762939453, 33.400001525878906]"
Råde,"[82.5, 24.899999618530273, 64.0, 66.70000457763672, 14.699999809265137, 74.0999984741211, 192.10000610351562, 144.10000610351562, 128.60000610351562, 151.60000610351562, 87.5, 18.100000381469727, 92.0999984741211, 37.60000228881836, 35.0, 30.30000114440918, 29.80000114440918, 113.70000457763672, 65.30000305175781, 49.400001525878906, 114.5, 65.70000457763672, 98.30000305175781, 28.30000114440918, 18.899999618530273, 115.70000457763672, 91.0999984741211, 157.40000915527344, 87.0999984741211, 27.100000381469727, 35.5, 29.200000762939453, 13.800000190734863, 58.400001525878906, 193.10000610351562, 33.900001525878906, 28.5, 35.79999923706055, 16.80000114440918, 25.80000114440918, 36.29999923706055, 27.700000762939453, 78.20000457763672, 79.30000305175781, 86.30000305175781, 18.899999618530273, 148.60000610351562, 31.700000762939453, 13.300000190734863, 68.5999984741211, 86.0999984741211, 92.0999984741211, 32.900001525878906, 28.700000762939453, 39.5, 13.199999809265137, 22.0, 20.700000762939453, 62.20000076293945, 54.20000076293945, 4.300000190734863, 15.90000057220459, 31.399999618530273, 21.5]"
Sarpsborg,"[81.4000015258789, 24.899999618530273, 67.4000015258789, 61.29999923706055, 20.0, 49.29999923706055, 159.10000610351562, 87.5, 100.4000015258789, 92.9000015258789, 80.5, 16.30000114440918, 58.0, 40.900001525878906, 21.600000381469727, 28.899999618530273, 20.30000114440918, 84.80000305175781, 37.10000228881836, 43.5, 69.20000457763672, 60.5, 60.400001525878906, 17.30000114440918, 15.600000381469727, 104.30000305175781, 82.20000457763672, 124.80000305175781, 38.900001525878906, 44.10000228881836, 25.0, 18.899999618530273, 6.900000095367432, 35.5, 139.5, 12.100000381469727, 24.700000762939453, 26.600000381469727, 25.899999618530273, 36.400001525878906, 19.5, 34.10000228881836, 79.70000457763672, 81.80000305175781, 79.70000457763672, 17.0, 139.0, 20.200000762939453, 7.900000095367432, 53.5, 46.0, 96.70000457763672, 35.10000228881836, 36.10000228881836, 30.200000762939453, 16.399999618530273, 26.100000381469727, 27.399999618530273, 50.20000076293945, 38.0, 5.400000095367432, 13.90000057220459, 29.200000762939453, 23.5]"
